Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Edmonton Oilers,Ryan Nugent-Hopkins\nugenry01,CA,C,18,2019,Red Deer (WHL),465,122,202,324,-27,142,,,,,,
2,Colorado Avalanche,Gabriel Landeskog\landega01,SE,LW,18,2019,Kitchener (OHL),516,151,202,353,33,399,,,,,,
3,Florida Panthers,Jonathan Huberdeau\huberjo01,CA,C,18,2019,Saint John (QMJHL),393,97,177,274,1,185,,,,,,
4,New Jersey Devils,Adam Larsson\larssad01,SE,D,18,2019,Skelleftea (Sweden),424,17,87,104,46,250,,,,,,
5,New York Islanders,Ryan Strome\stromry01,CA,C,18,2019,Niagara (OHL),348,58,102,160,-1,160,,,,,,
6,Ottawa Senators,Mika Zibanejad\zibanmi01,SE,C,18,2019,Djurgarden (Sweden),419,110,134,244,-28,102,,,,,,
7,Winnipeg Jets,Mark Scheifele\scheima01,CA,C,18,2019,Barrie (OHL),376,118,179,297,76,158,,,,,,
8,Philadelphia Flyers,Sean Couturier\coutuse01,US,C,18,2019,Drummondville (QMJHL),508,104,166,270,66,191,,,,,,
9,Boston Bruins,Dougie Hamilton\hamildo01,CA,D,18,2019,Niagara (OHL),432,64,159,223,22,273,,,,,,
10,Minnesota Wild,Jonas Brodin\brodijo01,SE,D,18,2019,Farjestad (Sweden),413,25,76,101,46,110,,,,,,
11,Colorado Avalanche,Duncan Siemens\siemedu01,CA,D,18,2018,Saskatoon (WHL),20,1,1,2,-7,25,,,,,,
12,Carolina Hurricanes,Ryan Murphy\murphry01,CA,D,18,2018,Kitchener (OHL),172,8,34,42,-28,54,,,,,,
13,Calgary Flames,Sven Baertschi\baertsv01,CH,LW,18,2019,Portland (WHL),269,60,68,128,-24,72,,,,,,
14,Dallas Stars,Jamie Oleksiak\oleksja01,CA,D,18,2019,Northeastern (H-East),194,14,26,40,-7,176,,,,,,
15,New York Rangers,J.T. Miller\millejt01,US,C,18,2019,USA U-18 (USHL),368,84,114,198,14,164,,,,,,
16,Buffalo Sabres,Joel Armia\armiajo01,FI,RW,18,2019,Assat (Finland),189,28,34,62,-3,58,,,,,,
17,Montreal Canadiens,Nathan Beaulieu\beaulna01,CA,D,18,2019,Saint John (QMJHL),291,9,61,70,2,195,,,,,,
18,Chicago Blackhawks,Mark McNeill\mcneima01,CA,C,18,2017,Prince Albert (WHL),2,0,0,0,-1,0,,,,,,
19,Edmonton Oilers,Oscar Klefbom\klefbos01,SE,D,18,2019,Farjestad (Sweden),263,24,73,97,-37,36,,,,,,
20,Phoenix Coyotes,Connor Murphy\murphco02,US,D,18,2018,USA U-18 (USHL),334,15,48,63,-33,179,,,,,,
21,Ottawa Senators,Stefan Noesen\noesest01,US,RW,18,2019,Plymouth (OHL),125,22,17,39,16,68,,,,,,
22,Toronto Maple Leafs,Tyler Biggs\biggsty01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
23,Pittsburgh Penguins,Joseph Morrow\morrojo02,CA,D,18,2019,Portland (WHL),130,8,17,25,-15,42,,,,,,
24,Ottawa Senators,Matt Puempel\puempma01,CA,LW,18,2017,Peterborough (OHL),79,10,5,15,-8,28,,,,,,
25,Toronto Maple Leafs,Stuart Percy\percyst01,CA,D,18,2016,Mississauga St. Michael's (OHL),12,0,3,3,-6,2,,,,,,
26,Chicago Blackhawks,Phillip Danault\danauph01,CA,LW,18,2019,Victoriaville (QMJHL),196,26,53,79,3,83,,,,,,
27,Tampa Bay Lightning,Vladislav Namestnikov\namesvl01,RU,C,18,2019,London (OHL),291,55,73,128,12,140,,,,,,
28,Minnesota Wild,Zack Phillips\phillza01,CA,C,18,,Saint John (QMJHL),,,,,,,,,,,,
29,Vancouver Canucks,Nicklas Jensen\jenseni01,DK,LW,18,2017,Oshawa (OHL),31,3,3,6,-5,10,,,,,,
