Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
70,Chicago Blackhawks,Andrel Altybarmakyan\altyban01,RU,RW,19,,LVY St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
71,Detroit Red Wings,Kasper Kotkansalo\kotkaka01,FI,D,18,,Sioux Falls (USHL),,,,,,,,,,,,
72,Los Angeles Kings,Matt Villalta\villama01,CA,G,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
73,Carolina Hurricanes,Stelio Mattheos\matthst01,CA,RW,18,,Brandon (WHL),,,,,,,,,,,,
74,Winnipeg Jets,Johnathan Kovacevic\kovacjo01,CA,D,20,,Merrimack (H-East),,,,,,,,,,,,
75,Arizona Coyotes,Nate Schnarr\schnana01,CA,C,18,,Guelph (OHL),,,,,,,,,,,,
76,Tampa Bay Lightning,Alexei Lipanov\lipanal01,RU,C,18,,Balashikha (RUSSIA-2),,,,,,,,,,,,
77,New York Islanders,Benjamin Mirageas\miragbe01,US,D,18,,Chicago (USHL),,,,,,,,,,,,
78,Edmonton Oilers,Stuart Skinner\skinnst01,CA,G,18,,Lethbridge (WHL),,,,,,,,,,,,
79,Detroit Red Wings,Lane Zablocki\zablola01,CA,RW,18,,Red Deer (WHL),,,,,,,,,,,,
80,Philadelphia Flyers,Kirill Ustimenko\ustimki01,BY,G,18,,Dynamo St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
81,New Jersey Devils,Reilly Walsh\walshre01,US,D,18,,Proctor Academy (High-NH),,,,,,,,,,,,
82,Arizona Coyotes,Cameron Crotty\crottca01,CA,D,18,,Brockville (CCHL),,,,,,,,,,,,
83,Detroit Red Wings,Zach Gallant\gallaza01,CA,C,18,,Peterborough (OHL),,,,,,,,,,,,
84,Edmonton Oilers,Dmitri Samorukov\samordm01,RU,D,18,,Guelph (OHL),,,,,,,,,,,,
85,Minnesota Wild,Ivan Lodnia\lodniiv01,US,RW,18,,Erie (OHL),,,,,,,,,,,,
86,Columbus Blue Jackets,Daniil Tarasov\tarasda02,RU,G,18,,Ufa 2 (Russia-Jr.),,,,,,,,,,,,
87,Montreal Canadiens,Cale Fleury\fleurca01,CA,D,18,,Kootenay (WHL),,,,,,,,,,,,
88,Detroit Red Wings,Keith Petruzzelli\petruke01,US,G,18,,Muskegon (USHL),,,,,,,,,,,,
89,Buffalo Sabres,Oskari Laaksonen\laaksos01,FI,D,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,
90,Chicago Blackhawks,Evan Barratt\barraev01,US,C,18,,USA U-18 (USNTDP),,,,,,,,,,,,
91,Anaheim Ducks,Jack Badini\badinja01,US,C,19,,Chicago (USHL),,,,,,,,,,,,
92,Nashville Predators,David Farrance\farrada01,US,D,18,,USA U-18 (USNTDP),,,,,,,,,,,,
93,Pittsburgh Penguins,Clayton Phillips\phillcl01,US,D,18,,Fargo (USHL),,,,,,,,,,,,
94,Colorado Avalanche,Nick Henry\henryni01,CA,RW,18,,Regina (WHL),,,,,,,,,,,,
95,Vancouver Canucks,Jack Rathbone\rathbja01,US,D,18,,Dexter School (High-MA),,,,,,,,,,,,
96,Vegas Golden Knights,Maksim Zhukov\zhukoma01,RU,G,18,,Green Bay (USHL),,,,,,,,,,,,
97,Minnesota Wild,Mason Shaw\shawma01,CA,C,18,,Medicine Hat (WHL),,,,,,,,,,,,
98,New Jersey Devils,Nikita Popugaev\popugni01,RU,LW,18,,Prince George (WHL),,,,,,,,,,,,
99,Buffalo Sabres,Jacob Bryson\brysoja01,CA,D,19,,Providence (H-East),,,,,,,,,,,,
100,Detroit Red Wings,Malte Setkov\setkoma01,DK,D,18,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,
101,Dallas Stars,Liam Hawel\hawelli01,CA,C,18,,Guelph (OHL),,,,,,,,,,,,
102,San Jose Sharks,Scott Reedy\reedysc01,US,C,18,,USA U-18 (USNTDP),,,,,,,,,,,,
103,Los Angeles Kings,Michael Anderson\andermi02,US,D,18,,Waterloo (USHL),,,,,,,,,,,,
104,Carolina Hurricanes,Eetu Makiniemi\makinee01,FI,G,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,
105,Winnipeg Jets,Santeri Virtanen\virtasa01,FI,C,18,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,
106,Philadelphia Flyers,Matthew Strome\stromma01,CA,LW,18,,Hamilton (OHL),,,,,,,,,,,,
107,Philadelphia Flyers,Maksim Sushko\sushkma01,BY,RW,18,,Owen Sound (OHL),,,,,,,,,,,,
108,Arizona Coyotes,Noel Hoefenmayer\hoefeno01,CA,D,18,,Ottawa (OHL),,,,,,,,,,,,
109,Calgary Flames,Adam Ruzicka\ruzicad01,SK,C,18,,Sarnia (OHL),,,,,,,,,,,,
110,Toronto Maple Leafs,Ian Scott\scottia01,CA,G,18,,Prince Albert (WHL),,,,,,,,,,,,
111,Boston Bruins,Jeremy Swayman\swaymje01,US,G,18,,Sioux Falls (USHL),,,,,,,,,,,,
112,Chicago Blackhawks,Tim Soderlund\soderti01,SE,C/LW,19,,Skelleftea (Sweden),,,,,,,,,,,,
113,St. Louis Blues,Alexey Toropchenko\toropal01,RU,RW,18,,MVD Balashikha 2 (Russia-Jr.),,,,,,,,,,,,
114,Colorado Avalanche,Petr Kvaca\kvacape01,CZ,G,20,,C Budejovice (Czech-2),,,,,,,,,,,,
115,Edmonton Oilers,Ostap Safin\safinos01,CZ,RW,18,,Sparta Jr. (Czech-Jr.),,,,,,,,,,,,
116,Minnesota Wild,Bryce Misley\mislebr01,CA,C,18,,Oakville (OJHL),,,,,,,,,,,,
117,Columbus Blue Jackets,Emil Bemstrom\bemstem01,SE,C,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,
118,Los Angeles Kings,Markus Phillips\phillma02,CA,D,18,,Owen Sound (OHL),,,,,,,,,,,,
119,Chicago Blackhawks,Roope Laavainen\laavaro01,FI,D,19,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,
120,Washington Capitals,Tobias Geisser\geissto01,CH,D,18,,Zug Academy (SWISS-2),,,,,,,,,,,,
121,Ottawa Senators,Drake Batherson\bathedr01,US,C,19,,Cape Breton (QMJHL),,,,,,,,,,,,
122,Anaheim Ducks,Kyle Olson\olsonky01,CA,RW,18,,Tri-City (WHL),,,,,,,,,,,,
123,New York Rangers,Brandon Crawley\crawlbr01,US,D,20,,London (OHL),,,,,,,,,,,,
124,Toronto Maple Leafs,Vladislav Kara\karavl01,RU,LW,19,,Bars Kazan (RUSSIA-2),,,,,,,,,,,,
125,Colorado Avalanche,Igor Shvyrev\shvyrig01,RU,C,19,,Magnitogorsk 2 (Russia-Jr.),,,,,,,,,,,,
126,Arizona Coyotes,Michael Karow\karowmi01,US,D,18,,Youngstown (USHL),,,,,,,,,,,,
127,Vegas Golden Knights,Lucas Elvenes\elvenlu01,SE,C RW,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
128,Arizona Coyotes,Tyler Steenbergen\steenty01,CA,C,19,,Swift Current (WHL),,,,,,,,,,,,
129,New Jersey Devils,Gilles Senn\senngi01,CH,G,21,,Davos (Swiss),,,,,,,,,,,,
130,St. Louis Blues,David Noel\noelda01,CA,D,18,,Val D'Or (QMJHL),,,,,,,,,,,,
131,Detroit Red Wings,Cole Fraser\fraseco02,CA,D,18,,Peterborough (OHL),,,,,,,,,,,,
132,Dallas Stars,Jacob Peterson\peterja01,SE,C,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
133,Florida Panthers,Tyler Inamoto\inamoty01,US,D,18,,USA U-18 (USNTDP),,,,,,,,,,,,
134,Los Angeles Kings,Cole Hults\hultsco01,US,D,19,,Madison (USHL),,,,,,,,,,,,
135,Vancouver Canucks,Kristoffer Gunnarsson\gunnakr01,SE,D,20,,Frolunda (Sweden),,,,,,,,,,,,
136,Winnipeg Jets,Leon Gawanke\gawanle01,DE,D,18,,Cape Breton (QMJHL),,,,,,,,,,,,
137,Philadelphia Flyers,Noah Cates\catesno01,US,LW,18,,Stillwater (High-MN),,,,,,,,,,,,
138,Los Angeles Kings,Drake Rymsha\rymshdr01,US,C,19,,Sarnia (OHL),,,,,,,,,,,,
139,New York Islanders,Sebastian Aho\ahose02,SE,D,21,2018,Skelleftea (Sweden),22,1,3,4,-5,6,,,,,,
140,Calgary Flames,Zach Fischer\fischza01,CA,RW,20,,Medicine Hat (WHL),,,,,,,,,,,,
141,Toronto Maple Leafs,Fedor Gordeev\gordefe01,RU,D,18,,Flint (OHL),,,,,,,,,,,,
142,Vegas Golden Knights,Jonathan Dugan\duganjo01,US,LW,19,,Northwood School (HIGH-NY),,,,,,,,,,,,
143,New Jersey Devils,Marlan Studenic\studema01,SK,RW,18,,Hamilton (OHL),,,,,,,,,,,,
144,Chicago Blackhawks,Parker Foo\foopa01,CA,LW,19,,Brooks (AJHL),,,,,,,,,,,,
145,New York Rangers,Calle Sjalin\sjalica01,SE,D,18,,Ostersund (SWEDEN-3),,,,,,,,,,,,
146,Edmonton Oilers,Kirill Maksimov\maksiki01,RU,RW,18,,Niagara (OHL),,,,,,,,,,,,
147,Minnesota Wild,Jacob Golden\goldeja01,CA,D,18,,London (OHL),,,,,,,,,,,,
148,Columbus Blue Jackets,Kale Howarth\howarka01,CA,LW,20,,Trail (BCHL),,,,,,,,,,,,
149,Montreal Canadiens,Jarret Tyszka\tyszkja01,CA,D,18,,Seattle (WHL),,,,,,,,,,,,
150,Chicago Blackhawks,Jakub Galvas\galvaja01,CZ,D,18,,Olomouc (Czech),,,,,,,,,,,,
151,Washington Capitals,Sebastian Walfridsson\walfrse01,SE,D,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,
152,Pittsburgh Penguins,Jan Drozg\drozgja01,SI,LW,18,,Leksand U18 (Sweden-Jr.),,,,,,,,,,,,
153,Anaheim Ducks,Olle Eriksson Ek\eriksol01,SE,G,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
154,Nashville Predators,Tomas Vomacka\vomacto01,CZ,G,18,,Corpus Christi (NAHL),,,,,,,,,,,,
155,Pittsburgh Penguins,Linus Olund\olundli01,SE,C,20,,Brynas (Sweden),,,,,,,,,,,,
156,Colorado Avalanche,Denis Smirnov\smirnde01,RU,RW,20,,Penn State (Big Ten),,,,,,,,,,,,
157,New York Rangers,Dominik Lakatos\lakatdo01,CZ,C,20,,Liberec (Czech),,,,,,,,,,,,
158,Vegas Golden Knights,Nick Campoli\camponi01,CA,C,18,,North York (OJHL),,,,,,,,,,,,
159,San Jose Sharks,Jacob McGrew\mcgreja01,US,RW,18,,Spokane (WHL),,,,,,,,,,,,
160,New Jersey Devils,Aarne Talvitie\talviaa01,FI,C,18,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
161,Vegas Golden Knights,Jiri Patera\paterji01,CZ,G,18,,Budejovice Jr. (Czech-Jr.),,,,,,,,,,,,
162,Detroit Red Wings,Johan Adams\adamsjo04,US,RW,20,,Fargo (USHL),,,,,,,,,,,,
163,Dallas Stars,Brett Davis\davisbr01,CA,RW,18,,Kootenay (WHL),,,,,,,,,,,,
164,Detroit Red Wings,Reilly Webb\webbre01,CA,D,18,,Hamilton (OHL),,,,,,,,,,,,
165,New York Islanders,Arnaud Durandeau\duranar01,CA,LW,18,,Halifax (QMJHL),,,,,,,,,,,,
166,Carolina Hurricanes,Brendan De Jong\dejonbr01,CA,D,19,,Portland (WHL),,,,,,,,,,,,
167,Winnipeg Jets,Arvid Holm\holmar01,SE,G,18,,Karlskrona Jr. (Sweden-Jr.),,,,,,,,,,,,
168,Philadelphia Flyers,Olle Lycksell\lycksol01,SE,RW,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
169,Tampa Bay Lightning,Nicklaus Perbix\perbini01,US,D,19,,Elk River (High-MN),,,,,,,,,,,,
170,Columbus Blue Jackets,Jonathan Davidsson\davidjo03,SE,RW,20,,Djurgarden (Sweden),,,,,,,,,,,,
171,Calgary Flames,D'Artagnan Joly\jolyda01,CA,RW,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
172,Toronto Maple Leafs,Ryan Mcgregor\mcgrery01,CA,C,18,,Sarnia (OHL),,,,,,,,,,,,
173,Boston Bruins,Cedric Pare\parece01,CA,C,18,,Saint John (QMJHL),,,,,,,,,,,,
174,New York Rangers,Morgan Barron\barromo01,CA,C,18,,St. Andrews College (HIGH-ON),,,,,,,,,,,,
175,St. Louis Blues,Trenton Bourque\bourqtr01,CA,D,19,,Owen Sound (OHL),,,,,,,,,,,,
176,Nashville Predators,Pavel Koltygin\koltypa01,RU,C,18,,Drummondville (QMJHL),,,,,,,,,,,,
177,Edmonton Oilers,Skyler Brind'Amour\brindsk01,US,C,18,,Selects Academy U18 (USMAAA),,,,,,,,,,,,
178,Minnesota Wild,Andrei Svetlakov\svetlan01,RU,C,21,,CSKA (Russia),,,,,,,,,,,,
179,Columbus Blue Jackets,Carson Meyer\meyerca01,US,RW,20,,Miami (NCHC),,,,,,,,,,,,
180,Tampa Bay Lightning,Cole Guttman\guttmco01,US,C,18,,Dubuque (USHL),,,,,,,,,,,,
181,Vancouver Canucks,Petrus Palmu\palmupe01,FI,RW,20,,Owen Sound (OHL),,,,,,,,,,,,
182,Washington Capitals,Benton Maass\maassbe01,US,D,18,,Elk River (High-MN),,,,,,,,,,,,
183,Ottawa Senators,Jordan Hollett\hollejo01,CA,G,18,,Regina (WHL),,,,,,,,,,,,
184,Florida Panthers,Sebastian Repo\repose02,FI,RW,21,,Tappara (Finland),,,,,,,,,,,,
185,San Jose Sharks,Alexander Chmelevski\chmelal01,US,C,18,,Ottawa (OHL),,,,,,,,,,,,
186,Pittsburgh Penguins,Antti Palojarvi\palojan01,FI,D,18,,Lukko Jr. (Finland-Jr.),,,,,,,,,,,,
187,Colorado Avalanche,Nick Leivermann\leiveni01,US,D,19,,Eden Prairie (High-MN),,,,,,,,,,,,
188,Vancouver Canucks,Matt Brassard\brassma01,CA,D,19,,Oshawa (OHL),,,,,,,,,,,,
189,Vegas Golden Knights,Ben Jones\jonesbe01,CA,C,18,,Niagara (OHL),,,,,,,,,,,,
190,Arizona Coyotes,Erik Walli Walterholm\wallier01,SE,RW,18,,Djurgarden U18 (Sweden-Jr.),,,,,,,,,,,,
191,New Jersey Devils,Jocktan Chainey\chainjo01,CA,D,18,,Halifax (QMJHL),,,,,,,,,,,,
192,Buffalo Sabres,Linus Weissbach\weissli01,SE,LW,19,,Tri-City (USHL),,,,,,,,,,,,
193,Detroit Red Wings,Brady Gilmour\gilmobr01,CA,C,18,,Saginaw (OHL),,,,,,,,,,,,
194,Dallas Stars,Dylan Ferguson\fergudy01,CA,G,18,2018,Kamloops (WHL),1,0,0,0,0,0,1,0,0,0,.500,6.50
195,Boston Bruins,Victor Berglund\berglvi01,SE,D,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,
196,Philadelphia Flyers,Wyatt Kalynuk\kalynwy01,CA,D,20,,Bloomington (USHL),,,,,,,,,,,,
197,Carolina Hurricanes,Ville Rasanen\rasanvi01,FI,D,18,,Jokipojat (Finland-2),,,,,,,,,,,,
198,Winnipeg Jets,Skyler Mckenzie\mckensk01,CA,LW,19,,Portland (WHL),,,,,,,,,,,,
199,Montreal Canadiens,Cayden Primeau\primeca01,US,G,18,,Lincoln (USHL),,,,,,,,,,,,
200,Tampa Bay Lightning,Samuel Walker\walkesa01,US,C,18,,Edina (High-MN),,,,,,,,,,,,
201,New York Islanders,Logan Cockerill\cockelo01,US,LW,18,,USA U-18 (USNTDP),,,,,,,,,,,,
202,Calgary Flames,Filip Sveningsson\svenifi01,SE,LW,18,,HV 71 Jr. (Sweden-Jr.),,,,,,,,,,,,
203,Toronto Maple Leafs,Ryan O'Connell\oconnry01,CA,D,18,,St. Andrews College (HIGH-ON),,,,,,,,,,,,
204,Boston Bruins,Daniel Bukac\bukacda01,CZ,D,18,,Brandon (WHL),,,,,,,,,,,,
205,New Jersey Devils,Yegor Zaitsev\zaitsye01,RU,D,19,,Balashikha (RUSSIA-2),,,,,,,,,,,,
206,St. Louis Blues,Anton Andersson\anderan01,SE,D,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,
207,New York Rangers,Patrik Virta\virtapa01,FI,C,21,,TPS (Finland),,,,,,,,,,,,
208,Edmonton Oilers,Philip Kemp\kempph01,US,D,18,,USA U-18 (USNTDP),,,,,,,,,,,,
209,Minnesota Wild,Nick Swaney\swaneni01,US,RW,20,,Waterloo (USHL),,,,,,,,,,,,
210,Columbus Blue Jackets,Robbie Stucker\stuckro01,US,D,18,,St. Thomas (High-MN),,,,,,,,,,,,
211,Winnipeg Jets,Croix Evingson\evingcr01,US,D,20,,Shreveport (NAHL),,,,,,,,,,,,
212,San Jose Sharks,Ivan Chekhovich\chekhiv01,RU,LW,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
213,Washington Capitals,Kristian Roykas Marthinsen\roykakr01,NO,LW,18,,Almtuna Jr. (SWEDEN-JR. 2),,,,,,,,,,,,
214,New Jersey Devils,Matthew Hellickson\hellima01,US,D,19,,Sioux City (USHL),,,,,,,,,,,,
215,Chicago Blackhawks,Joshua Ess\essjo01,US,D,18,,Lakeville South (High-MN),,,,,,,,,,,,
216,Nashville Predators,Jacob Paquette\paqueja01,CA,D,18,,Kingston (OHL),,,,,,,,,,,,
217,Pittsburgh Penguins,William Reilly\reillwi01,CA,D,20,,RPI (ECAC),,,,,,,,,,,,
