Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,New Jersey Devils,Nico Hischier\hischni01,CH,C,18,2019,Halifax (QMJHL),89,23,35,58,11,26,,,,,,
2,Philadelphia Flyers,Nolan Patrick\patrino01,CA,C,18,2019,Brandon (WHL),80,15,17,32,-2,30,,,,,,
3,Dallas Stars,Miro Heiskanen\heiskmi01,FI,D,18,2019,HIFK (Finland),9,1,2,3,-1,4,,,,,,
4,Colorado Avalanche,Cale Makar\makarca01,CA,D,18,,Brooks (AJHL),,,,,,,,,,,,
5,Vancouver Canucks,Elias Pettersson\petteel01,SE,C,18,2019,Timra (Sweden-2),5,5,3,8,1,2,,,,,,
6,Vegas Golden Knights,Cody Glass\glassco01,CA,C,18,,Portland (WHL),,,,,,,,,,,,
7,New York Rangers,Lias Andersson\anderli01,SE,C,18,2018,HV 71 (Sweden),7,1,1,2,1,0,,,,,,
8,Buffalo Sabres,Casey Mittelstadt\mitteca01,US,C,18,2019,Eden Prairie (High-MN),16,1,6,7,-4,6,,,,,,
9,Detroit Red Wings,Michael Rasmussen\rasmumi01,CA,C,18,2019,Tri-City (WHL),8,0,1,1,-1,2,,,,,,
10,Florida Panthers,Owen Tippett\tippeow01,CA,RW,18,2018,Mississauga (OHL),7,1,0,1,-6,0,,,,,,
11,Los Angeles Kings,Gabriel Vilardi\vilarga01,CA,C,18,,Windsor (OHL),,,,,,,,,,,,
12,Carolina Hurricanes,Martin Necas\necasma01,CZ,C,18,2019,Brno (Czech),8,1,1,2,0,2,,,,,,
13,Vegas Golden Knights,Nick Suzuki\suzukni01,CA,C,18,,Owen Sound (OHL),,,,,,,,,,,,
14,Tampa Bay Lightning,Callan Foote\footeca01,US,D,18,,Kelowna (WHL),,,,,,,,,,,,
15,Vegas Golden Knights,Erik Brannstrom\branner01,SE,D,18,,HV 71 (Sweden),,,,,,,,,,,,
16,Calgary Flames,Juuso Valimaki\valimju01,FI,D,18,2019,Tri-City (WHL),9,1,0,1,-3,2,,,,,,
17,Toronto Maple Leafs,Timothy Liljegren\liljeti01,SE,D,18,,Rogle (Sweden),,,,,,,,,,,,
18,Boston Bruins,Urho Vaakanainen\vaakaur01,FI,D,18,2019,JYP (Finland),2,0,0,0,-1,0,,,,,,
19,San Jose Sharks,Joshua Norris\norrijo01,US,C,18,,USA U-18 (USNTDP),,,,,,,,,,,,
20,St. Louis Blues,Robert Thomas\thomaro01,CA,C,18,2019,London (OHL),5,0,1,1,-1,0,,,,,,
21,New York Rangers,Filip Chytil\chytifi01,CZ,C,18,2019,Zlin (Czech),19,1,4,5,-5,6,,,,,,
22,Edmonton Oilers,Kailer Yamamoto\yamamka01,US,RW,18,2019,Spokane (WHL),17,1,4,5,-5,4,,,,,,
23,Arizona Coyotes,Pierre-Olivier Joseph\joseppi01,CA,D,18,,Charlottetown (QMJHL),,,,,,,,,,,,
24,Winnipeg Jets,Kristian Vesalainen\vesalkr01,FI,W,18,2019,Frolunda (Sweden),5,0,1,1,0,0,,,,,,
25,Montreal Canadiens,Ryan Poehling\poehlry01,US,C,18,,St. Cloud State (NCHC),,,,,,,,,,,,
26,Dallas Stars,Jake Oettinger\oettija01,US,G,18,,Boston University (H-East),,,,,,,,,,,,
27,Philadelphia Flyers,Morgan Frost\frostmo01,CA,C,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
28,Ottawa Senators,Shane Bowers\bowersh01,CA,C,18,,Waterloo (USHL),,,,,,,,,,,,
29,Chicago Blackhawks,Henri Jokiharju\jokihhe01,FI,D,18,2019,Portland (WHL),10,0,6,6,5,4,,,,,,
30,Nashville Predators,Eeli Tolvanen\tolvaee01,FI,RW,18,2018,Sioux City (USHL),3,0,0,0,0,0,,,,,,
31,St. Louis Blues,Klim Kostin\kostikl01,RU,C; LW,18,,Dynamo Moscow (Russia),,,,,,,,,,,,
32,Colorado Avalanche,Conor Timmins\timmico01,CA,D,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
33,Vancouver Canucks,Kole Lind\lindko01,CA,RW,18,,Kelowna (WHL),,,,,,,,,,,,
34,Vegas Golden Knights,Nicolas Hague\hagueni01,CA,D,18,,Mississauga (OHL),,,,,,,,,,,,
35,Philadelphia Flyers,Isaac Ratcliffe\ratclis01,CA,LW,18,,Guelph (OHL),,,,,,,,,,,,
36,New Jersey Devils,Jesper Boqvist\boqvije01,SE,C,18,,Brynas (Sweden),,,,,,,,,,,,
37,Buffalo Sabres,Marcus Davidsson\davidma02,SE,C,18,,Djurgarden (Sweden),,,,,,,,,,,,
38,Detroit Red Wings,Gustav Lindstrom\lindsgu01,SE,D,18,,Almtuna (Sweden-2),,,,,,,,,,,,
39,Dallas Stars,Jason Robertson\roberja01,US,LW,18,,Kingston (OHL),,,,,,,,,,,,
40,Florida Panthers,Aleksi Heponiemi\heponal01,FI,C,18,,Swift Current (WHL),,,,,,,,,,,,
41,Los Angeles Kings,Jaret Anderson-Dolan\anderja01,CA,C,18,2019,Spokane (WHL),5,0,1,1,-2,0,,,,,,
42,Carolina Hurricanes,Eetu Luostarinen\luostee01,FI,C,19,,Kalpa (Finland),,,,,,,,,,,,
43,Winnipeg Jets,Dylan Samberg\sambedy01,US,D,18,,Hermantown (High-MN),,,,,,,,,,,,
44,Arizona Coyotes,Filip Westerlund\westefi01,SE,D,18,,Frolunda (Sweden),,,,,,,,,,,,
45,Columbus Blue Jackets,Alexandre Texier\texieal01,FR,C,18,,Grenoble (FRANCE),,,,,,,,,,,,
46,New York Islanders,Robin Salo\saloro01,FI,D,18,,Sport (Finland),,,,,,,,,,,,
47,Ottawa Senators,Alex Formenton\formeal01,CA,LW,18,2019,London (OHL),6,0,0,0,-2,6,,,,,,
48,Tampa Bay Lightning,Alexander Volkov\volkoal01,RU,RW,20,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
49,San Jose Sharks,Mario Ferraro\ferrama01,CA,D,18,,Des Moines (USHL),,,,,,,,,,,,
50,Anaheim Ducks,Maxime Comtois\comtoma01,CA,LW,18,2019,Victoriaville (QMJHL),10,2,5,7,3,7,,,,,,
51,Pittsburgh Penguins,Zachary Lauzon\lauzoza01,CA,D,18,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,
52,Carolina Hurricanes,Luke Martin\martilu01,US,D,18,,Michigan (Big Ten),,,,,,,,,,,,
53,Boston Bruins,Jack Studnicka\studnja01,CA,C,18,,Oshawa (OHL),,,,,,,,,,,,
54,Buffalo Sabres,Ukko-Pekka Luukkonen\luukkuk01,FI,G,18,,HPK Jr. (Finland-Jr.),,,,,,,,,,,,
55,Vancouver Canucks,Jonah Gadjovich\gadjojo01,CA,LW,18,,Owen Sound (OHL),,,,,,,,,,,,
56,Montreal Canadiens,Josh Brook\brookjo01,CA,D,18,,Moose Jaw (WHL),,,,,,,,,,,,
57,Chicago Blackhawks,Ian Mitchell\mitchia01,CA,D,18,,Spruce Grove (AJHL),,,,,,,,,,,,
58,Montreal Canadiens,Joni Ikonen\ikonejo01,FI,C,18,,Frolunda (Sweden-Jr.),,,,,,,,,,,,
59,Toronto Maple Leafs,Eemeli Rasanen\rasanee01,FI,D,18,,Kingston (OHL),,,,,,,,,,,,
60,Anaheim Ducks,Antoine Morand\moranan01,CA,C,18,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,
61,Nashville Predators,Grant Mismash\mismagr01,US,LW,18,,USA U-18 (USNTDP),,,,,,,,,,,,
62,Vegas Golden Knights,Jake Leschyshyn\leschja01,US,C,18,,Regina (WHL),,,,,,,,,,,,
63,New Jersey Devils,Fabian Zetterlund\zettefa01,SE,W,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
64,Vancouver Canucks,Michael Dipietro\dipiemi01,CA,G,18,,Windsor (OHL),,,,,,,,,,,,
65,Vegas Golden Knights,Jonas Rondbjerg\rondbjo01,DK,RW,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,
66,Florida Panthers,Maxwell Gildon\gildoma01,US,D,18,,USA U-18 (USNTDP),,,,,,,,,,,,
67,Carolina Hurricanes,Morgan Geekie\geekimo01,CA,C,19,,Tri-City (WHL),,,,,,,,,,,,
68,Montreal Canadiens,Scott Walford\walfosc01,CA,D,18,,Victoria (WHL),,,,,,,,,,,,
69,Arizona Coyotes,Mackenzie Entwistle\entwima01,CA,RW,18,,Hamilton (OHL),,,,,,,,,,,,
