Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Colorado Avalanche,Nathan MacKinnon\mackina01,CA,C,18,2019,Halifax (QMJHL),384,122,196,318,15,161,,,,,,
2,Florida Panthers,Aleksander Barkov\barkoal01,FI,C,18,2019,Tappara (Finland),339,102,155,257,34,58,,,,,,
3,Tampa Bay Lightning,Jonathan Drouin\drouijo01,CA,LW,18,2019,Halifax (QMJHL),250,45,103,148,-34,88,,,,,,
4,Nashville Predators,Seth Jones\jonesse01,US,D,18,2019,Portland (WHL),395,46,137,183,-18,120,,,,,,
5,Carolina Hurricanes,Elias Lindholm\lindhel01,SE,C,18,2019,Brynas (Sweden),384,70,127,197,-73,78,,,,,,
6,Calgary Flames,Sean Monahan\monahse01,CA,C,18,2019,Ottawa (OHL),403,142,148,290,-19,82,,,,,,
7,Edmonton Oilers,Darnell Nurse\nurseda01,CA,D,18,2019,Sault Ste. Marie (OHL),205,15,35,50,-4,162,,,,,,
8,Buffalo Sabres,Rasmus Ristolainen\ristora01,FI,D,18,2019,TPS (Finland),356,32,123,155,-108,175,,,,,,
9,Vancouver Canucks,Bo Horvat\horvabo01,CA,C,18,2019,London (OHL),306,78,92,170,-52,80,,,,,,
10,Dallas Stars,Valeri Nichushkin\nichuva01,RU,RW,18,2019,Chelyabinsk (KHL),170,23,42,65,17,22,,,,,,
11,Philadelphia Flyers,Samuel Morin\morinsa01,CA,D,18,2018,Rimouski (QMJHL),3,0,0,0,1,4,,,,,,
12,Phoenix Coyotes,Max Domi\domima01,CA,C/LW,18,2019,London (OHL),231,40,105,145,-12,189,,,,,,
13,Winnipeg Jets,Josh Morrissey\morrijo04,CA,D,18,2019,Prince Albert (WHL),174,14,39,53,22,87,,,,,,
14,Columbus Blue Jackets,Alexander Wennberg\wennbal01,SE,C,18,2019,Djurgarden (Sweden-2),292,33,126,159,13,63,,,,,,
15,New York Islanders,Ryan Pulock\pulocry01,CA,D,18,2019,Brandon (WHL),92,12,25,37,-5,21,,,,,,
16,Buffalo Sabres,Nikita Zadorov\zadorni01,RU,D,18,2019,London (OHL),232,11,38,49,-36,256,,,,,,
17,Ottawa Senators,Curtis Lazar\lazarcu01,CA,C/RW,18,2018,Edmonton (WHL),245,15,36,51,-16,59,,,,,,
18,San Jose Sharks,Mirco Mueller\muellmi01,CH,D,18,2019,Everett (WHL),89,2,11,13,-10,21,,,,,,
19,Columbus Blue Jackets,Kerby Rychel\rycheke01,US,LW,18,2018,Windsor (OHL),41,3,11,14,6,19,,,,,,
20,Detroit Red Wings,Anthony Mantha\manthan01,CA,RW,18,2019,Val-D'Or (QMJHL),159,44,46,90,-9,113,,,,,,
