Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
56,Columbus Blue Jackets,Kevin Lynch\lynchke01,US,C,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,
57,San Jose Sharks,Taylor Doherty\doherta01,CA,D,18,,Kingston (OHL),,,,,,,,,,,,
58,Toronto Maple Leafs,Jesse Blacker\blackje01,CA,D,18,2015,Windsor (OHL),1,0,0,0,-2,0,,,,,,
59,Chicago Blackhawks,Brandon Pirri\pirribr01,CA,C,18,2018,Georgetown (OJHL),228,60,41,101,4,77,,,,,,
60,Detroit Red Wings,Tomas Tatar\tatarto01,SK,C,18,2019,Zvolen (Slovakia),436,122,114,236,-1,148,,,,,,
61,Pittsburgh Penguins,Philip Samuelsson\samueph01,SE,D,18,2016,Chicago Steel (USHL),13,0,0,0,-4,2,,,,,,
62,New York Islanders,Anders Nilsson\nilssan01,SE,G,19,2019,Lulea Jr. (Sweden-Jr.),111,0,2,2,0,6,111,39,49,12,.907,3.05
63,Pittsburgh Penguins,Ben Hanowski\hanowbe01,US,W,18,2014,Little Falls (High-MN),16,1,2,3,-2,2,,,,,,
64,Colorado Avalanche,Tyson Barrie\barrity01,CA,D,18,2019,Kelowna (WHL),416,61,192,253,-53,131,,,,,,
65,Montreal Canadiens,Joonas Nattinen\nattijo01,FI,C,18,2014,Blues Espoo Jr. (Finland-Jr.),1,0,0,0,0,0,,,,,,
66,Buffalo Sabres,Brayden McNabb\mcnabbr01,CA,D,18,2019,Kootenay (WHL),323,12,53,65,49,273,,,,,,
67,Florida Panthers,Josh Birkholz\birkhjo01,US,RW,18,,Fargo (USHL),,,,,,,,,,,,
68,Toronto Maple Leafs,Jamie Devane\devanja01,CA,LW,18,2014,Plymouth (OHL),2,0,0,0,-1,0,,,,,,
69,Dallas Stars,Reilly Smith\smithre01,CA,RW,18,2019,St. Michael's (OJHL),441,100,152,252,72,116,,,,,,
70,Nashville Predators,Taylor Beck\beckta01,CA,RW,18,2017,Guelph (OHL),92,11,12,23,-9,32,,,,,,
71,Edmonton Oilers,Troy Hesketh\hesketr01,US,D,18,,Minnetonka (High-MN),,,,,,,,,,,,
72,Nashville Predators,Michael Latta\lattami01,CA,C,18,2016,Guelph (OHL),113,4,13,17,4,130,,,,,,
73,New Jersey Devils,Alexander Urbom\urbomal01,SE,D,18,2014,Djurgarden (Sweden),34,3,1,4,-1,28,,,,,,
74,Calgary Flames,Ryan Howse\howsery01,CA,LW,18,,Chilliwack (WHL),,,,,,,,,,,,
75,Detroit Red Wings,Andrej Nestrasil\nestran01,CZ,RW,18,2017,Victoriaville (QMJHL),128,17,31,48,0,18,,,,,,
76,Anaheim Ducks,Igor Bobkov\bobkoig01,RU,G,18,,Magnitogorsk 2 (Russia-3),,,,,,,,,,,,
77,Minnesota Wild,Matt Hackett\hackema01,CA,G,19,2015,Plymouth (OHL),26,0,0,0,0,0,26,4,17,2,.906,3.11
78,St. Louis Blues,Sergei Andronov\androse01,RU,RW,20,,Lada Togliatti (KHL),,,,,,,,,,,,
79,Montreal Canadiens,Mac Bennett\bennema02,US,D,18,,Hotchkiss (High-CT),,,,,,,,,,,,
80,New York Rangers,Ryan Bourque\bourqry01,US,C,18,2015,U.S. National U-18 (USNTDP),1,0,0,0,-1,0,,,,,,
81,Philadelphia Flyers,Adam Morrison\morriad01,CA,G,18,,Saskatoon (WHL),,,,,,,,,,,,
82,Edmonton Oilers,Cameron Abney\abneyca01,CA,RW,18,,Everett (WHL),,,,,,,,,,,,
83,Vancouver Canucks,Kevin Connauton\connake01,CA,D,19,2019,Western Michigan (CCHA),269,26,44,70,12,163,,,,,,
84,Los Angeles Kings,Nicolas Deslauriers\deslani01,CA,D,18,2019,Rouyn-Noranda (QMJHL),272,22,22,44,-47,241,,,,,,
85,Washington Capitals,Cody Eakin\eakinco01,CA,C,18,2019,Swift Current (WHL),465,79,106,185,-15,210,,,,,,
86,Boston Bruins,Ryan Button\buttory01,CA,D,18,,Prince Albert (WHL),,,,,,,,,,,,
87,Philadelphia Flyers,Simon Bertilsson\bertisi01,SE,D,18,,Brynas Gavle (Sweden),,,,,,,,,,,,
88,Carolina Hurricanes,Mattias Lindstrom\lindsma01,SE,LW,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,
89,Chicago Blackhawks,Dan Delisle\delisda01,US,C/LW,18,,Totino Grace (High-MN),,,,,,,,,,,,
90,Detroit Red Wings,Gleason Fournier\fourngl01,CA,D,18,,Rimouski (QMJHL),,,,,,,,,,,,
91,Phoenix Coyotes,Mike Lee\leemi01,US,G,18,,Fargo (USHL),,,,,,,,,,,,
92,New York Islanders,Casey Cizikas\cizikca01,CA,C,18,2019,Mississauga St. Michael's (OHL),420,47,82,129,-8,168,,,,,,
93,Tampa Bay Lightning,Alex Hutchings\hutchal01,CA,LW,18,,Barrie (OHL),,,,,,,,,,,,
94,Columbus Blue Jackets,David Savard\savarda01,CA,D,18,2019,Moncton (QMJHL),416,33,95,128,28,238,,,,,,
95,Los Angeles Kings,Jean-Francois Berube\berubje02,CA,G,18,2018,Montreal (QMJHL),34,0,0,0,0,0,34,9,10,4,.898,3.39
96,Los Angeles Kings,Linden Vey\veyli01,CA,RW,18,2017,Medicine Hat (WHL),138,14,30,44,-19,24,,,,,,
97,Phoenix Coyotes,Jordan Szwarz\szwarjo01,CA,RW,18,2018,Saginaw (OHL),47,4,3,7,-12,23,,,,,,
98,Nashville Predators,Craig Smith\smithcr01,US,C,20,2019,Waterloo (USHL),526,127,139,266,39,214,,,,,,
99,Edmonton Oilers,Kyle Bigos\bigosky01,US,D,20,,Vernon (BCHL),,,,,,,,,,,,
100,Ottawa Senators,Chris Wideman\widemch01,US,D,19,2019,Miami (Ohio) (CCHA),164,16,24,40,12,92,,,,,,
101,Edmonton Oilers,Toni Rajala\rajalto01,FI,LW,18,,Ilves Tampere (Finland),,,,,,,,,,,,
102,Nashville Predators,Mattias Ekholm\ekholma01,SE,D,19,2019,Mora (Sweden-2),400,31,96,127,52,193,,,,,,
103,Minnesota Wild,Kris Foucault\foucakr01,CA,LW,18,2012,Calgary (WHL),1,0,0,0,0,0,,,,,,
104,Buffalo Sabres,Marcus Foligno\foligma01,US,LW,18,2019,Sudbury (OHL),433,58,83,141,-14,413,,,,,,
105,Phoenix Coyotes,Justin Weller\welleju01,CA,D,18,,Red Deer (WHL),,,,,,,,,,,,
106,Anaheim Ducks,Sami Vatanen\vatansa01,FI,D,18,2019,JYP HT Jyvaskyla Jr. ( ),344,36,122,158,22,150,,,,,,
107,Florida Panthers,Garrett Wilson\wilsoga01,CA,LW,18,2016,Owen Sound (OHL),34,0,0,0,-6,24,,,,,,
108,St. Louis Blues,Tyler Shattock\shattty01,CA,RW,19,,Kamloops (WHL),,,,,,,,,,,,
109,Montreal Canadiens,Alexander Avtsin\avtsial01,RU,RW,18,,Dynamo-2 Moscow (Russia-3),,,,,,,,,,,,
110,Nashville Predators,Nick Oliver\oliveni01,US,C/LW,18,,Roseau (High-MN),,,,,,,,,,,,
111,Calgary Flames,Henrik Bjorklund\bjorkhe01,SE,RW,18,,Skare (Sweden-3),,,,,,,,,,,,
112,Boston Bruins,Lane MacDermid\macdela01,US,LW,20,2014,Windsor (OHL),21,2,2,4,0,36,,,,,,
113,Vancouver Canucks,Jeremy Price\priceje01,CA,D,18,,Nepean (CJHL),,,,,,,,,,,,
114,New Jersey Devils,Seth Helgeson\helgese01,US,D,18,2017,Sioux City (USHL),50,1,3,4,1,50,,,,,,
115,Washington Capitals,Patrick Wey\weypa01,US,D,18,2014,Waterloo (USHL),9,0,3,3,0,5,,,,,,
116,Minnesota Wild,Alex Fallstrom\fallsal01,SE,RW,19,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
117,Atlanta Thrashers,Eddie Pasquale\pasqued01,CA,G,18,,Saginaw (OHL),,,,,,,,,,,,
119,Chicago Blackhawks,Byron Froese\froesby01,CA,C,18,2018,Everett (WHL),110,5,11,16,-14,47,,,,,,
120,Atlanta Thrashers,Ben Chiarot\chiarbe01,CA,D,18,2019,Guelph (OHL),237,9,38,47,10,154,,,,,,
121,Pittsburgh Penguins,Nick Petersen\peterni01,CA,RW,20,,Shawinigan (QMJHL),,,,,,,,,,,,
122,New York Islanders,Anton Klementyev\klemean01,RU,D,19,2010,Lokomotiv Yaroslavl 2 (Russia-3),1,0,0,0,0,0,,,,,,
123,Pittsburgh Penguins,Alex Velischek\velisal01,CA,D,18,,Delbarton (High-NJ),,,,,,,,,,,,
124,Colorado Avalanche,Kieran Millan\millaki01,CA,G,20,,Boston University ( ),,,,,,,,,,,,
125,Atlanta Thrashers,Cody Sol\solco01,CA,D,18,,Saginaw (OHL),,,,,,,,,,,,
126,Los Angeles Kings,David Kolomatis\kolomda01,US,D,20,,Owen Sound (OHL),,,,,,,,,,,,
127,New York Rangers,Roman Horak\horakro01,CZ,C,18,2014,Ceske Budejovice (Czech),84,6,13,19,-3,16,,,,,,
128,Toronto Maple Leafs,Eric Knodel\knodeer01,US,D,19,,Philadelphia Jr. Flyers (USMAAA),,,,,,,,,,,,
129,Dallas Stars,Tomas Vincour\vincoto01,CZ,C,18,2015,Edmonton ( ),95,7,10,17,-9,12,,,,,,
130,Ottawa Senators,Mike Hoffman\hoffmmi02,CA,C/LW,19,2019,Drummondville (QMJHL),350,111,125,236,6,121,,,,,,
131,Carolina Hurricanes,Matt Kennedy\kennema01,CA,RW,20,,Guelph (OHL),,,,,,,,,,,,
132,Nashville Predators,Gabriel Bourque\bourqga01,CA,LW,18,2019,Baie-Comeau (QMJHL),316,36,54,90,-21,60,,,,,,
133,Edmonton Oilers,Olivier Roy\royol01,CA,G,18,,Cape Breton (QMJHL),,,,,,,,,,,,
134,Buffalo Sabres,Mark Adams\adamsma01,US,D,18,,Malden Catholic (High-MA),,,,,,,,,,,,
135,Florida Panthers,Corban Knight\knighco01,CA,C,19,2019,Okotoks (AJHL),31,3,5,8,2,4,,,,,,
136,Anaheim Ducks,Radoslav Illo\illora01,SK,C,19,,Tri-City (USHL),,,,,,,,,,,,
137,Columbus Blue Jackets,Thomas Larkin\larkith01,GB,D,18,,Exeter (High-NH),,,,,,,,,,,,
138,Florida Panthers,Wade Megan\meganwa01,US,C,19,2018,South Kent School (High-CT),4,1,0,1,1,0,,,,,,
139,Montreal Canadiens,Gabriel Dumont\dumonga01,CA,C,18,2018,Drummondville (QMJHL),87,4,5,9,1,48,,,,,,
140,New York Rangers,Scott Stajcer\stajcsc01,CA,G,18,,Owen Sound (OHL),,,,,,,,,,,,
141,Calgary Flames,Spencer Bennett\bennesp01,CA,LW,18,,Surrey (BCHL),,,,,,,,,,,,
142,Philadelphia Flyers,Nic Riopel\riopeni01,CA,G,20,,Moncton (QMJHL),,,,,,,,,,,,
143,Vancouver Canucks,Peter Andersson\anderpe04,SE,D,18,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,
144,New Jersey Devils,Derek Rodwell\rodwede01,CA,LW,19,,Okotoks (AJHL),,,,,,,,,,,,
145,Washington Capitals,Brett Flemming\flemmbr01,CA,D,18,,Mississauga St. Michael's (OHL),,,,,,,,,,,,
146,Ottawa Senators,Jeff Costello\costeje01,US,LW,18,,Cedar Rapids (USHL),,,,,,,,,,,,
147,San Jose Sharks,Phil Varone\varonph01,CA,C,18,2017,London (OHL),50,5,5,10,-18,18,,,,,,
148,Tampa Bay Lightning,Michael Zador\zadormi01,CA,G,18,,Oshawa (OHL),,,,,,,,,,,,
149,Chicago Blackhawks,Marcus Kruger\krugema01,SE,C,19,2019,Djurgarden (Sweden),456,36,77,113,10,214,,,,,,
150,Detroit Red Wings,Nick Jensen\jenseni02,US,D,18,2019,Green Bay (USHL),138,6,25,31,-23,48,,,,,,
151,Pittsburgh Penguins,Andy Bathgate\bathgan02,CA,C,18,,Belleville (OHL),,,,,,,,,,,,
152,New York Islanders,Anders Lee\leean01,US,C,19,2019,Edina (High-MN),351,126,86,212,-9,213,,,,,,
153,Philadelphia Flyers,Dave Labrecque\labreda01,CA,C,19,,Shawinigan (QMJHL),,,,,,,,,,,,
154,Colorado Avalanche,Brandon Maxwell\maxwebr03,US,G,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,
155,Atlanta Thrashers,Jimmy Bubnick\bubniji01,CA,C,18,,Kamloops (WHL),,,,,,,,,,,,
156,Los Angeles Kings,Michael Pelech\pelecmi01,CA,C/LW,19,,Mississauga St. Michael's (OHL),,,,,,,,,,,,
157,Phoenix Coyotes,Evan Bloodoff\bloodev01,CA,LW,18,,Kelowna (WHL),,,,,,,,,,,,
158,Toronto Maple Leafs,Jerry D'Amigo\damigje01,US,RW,18,2015,U.S. National U-18 (USNTDP),31,1,2,3,-5,2,,,,,,
159,Dallas Stars,Curtis McKenzie\mckencu01,CA,LW,18,2018,Penticton (BCHL),99,10,13,23,-1,131,,,,,,
160,Ottawa Senators,Corey Cowick\cowicco01,CA,LW,20,,Ottawa (OHL),,,,,,,,,,,,
161,Minnesota Wild,Darcy Kuemper\kuempda01,CA,G,19,2019,Red Deer (WHL),134,0,2,2,0,6,134,55,42,19,.913,2.55
162,Tampa Bay Lightning,Jaroslav Janus\janusja01,SK,G,19,,Erie (OHL),,,,,,,,,,,,
163,Minnesota Wild,Jere Sallinen\sallije01,FI,RW,18,,Blues Espoo Jr. (Finland-Jr.),,,,,,,,,,,,
164,Buffalo Sabres,Connor Knapp\knappco01,US,G,19,2014,Miami (Ohio) (CCHA),2,0,1,1,,0,2,0,0,1,.875,3.14
165,Florida Panthers,Scott Timmins\timmisc01,CA,C,20,2013,Windsor (OHL),24,1,0,1,-10,12,,,,,,
166,Anaheim Ducks,Scott Valentine\valensc01,CA,D,18,,Oshawa (OHL),,,,,,,,,,,,
167,Columbus Blue Jackets,Anton Blomqvist\blomqan01,SE,D,19,,Malmo Jr. ( ),,,,,,,,,,,,
168,St. Louis Blues,David Shields\shielda01,US,D,18,,Erie (OHL),,,,,,,,,,,,
169,Montreal Canadiens,Dustin Walsh\walshdu01,CA,C,18,,Kingston (OJHL),,,,,,,,,,,,
170,New York Rangers,Dan Maggio\maggida01,CA,D,18,,Sudbury (OHL),,,,,,,,,,,,
171,Calgary Flames,Joni Ortio\ortiojo01,FI,G,18,2016,TPS Turku Jr. ( ),37,0,2,2,0,2,37,15,15,5,.901,2.66
172,Philadelphia Flyers,Eric Wellwood\wellwer01,CA,LW,19,2013,Windsor (OHL),31,5,5,10,13,4,,,,,,
173,Vancouver Canucks,Joe Cannata\cannajo01,US,G,19,,Merrimack ( ),,,,,,,,,,,,
174,New Jersey Devils,Ashton Bernard\bernaas01,CA,LW,19,,Shawinigan (QMJHL),,,,,,,,,,,,
175,Washington Capitals,Garrett Mitchell\mitchga01,CA,RW,18,2017,Regina (WHL),1,0,0,0,0,0,,,,,,
176,Boston Bruins,Tyler Randell\randety01,CA,RW,18,2016,Kitchener (OHL),27,6,0,6,-2,47,,,,,,
177,Chicago Blackhawks,David Pacan\pacanda01,CA,C,18,,Cumberland (CJHL),,,,,,,,,,,,
178,Carolina Hurricanes,Rasmus Rissanen\rissara01,FI,D,18,2015,Kalpa Kuopio Jr. (Finland-Jr.),6,0,0,0,-5,4,,,,,,
179,Los Angeles Kings,Brandon Kozun\kozunbr01,US,RW,19,2015,Calgary (WHL),20,2,2,4,-3,6,,,,,,
180,Detroit Red Wings,Mitch Callahan\callami01,US,RW,18,2017,Kelowna (WHL),5,0,0,0,0,0,,,,,,
181,Pittsburgh Penguins,Viktor Ekbom\ekbomvi01,SE,D,20,,Linkoping ( ),,,,,,,,,,,,
182,Minnesota Wild,Erik Haula\haulaer01,FI,LW,18,2019,Shattuck-St. Mary's (High-MN),351,72,74,146,15,158,,,,,,
183,Tampa Bay Lightning,Kirill Gotovets\gotovki01,BY,D,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
184,Colorado Avalanche,Gus Young\younggu01,US,D,18,,Nobles (High-MA),,,,,,,,,,,,
185,Atlanta Thrashers,Levko Koper\koperle01,CA,LW,18,,Spokane (WHL),,,,,,,,,,,,
186,Los Angeles Kings,Jordan Nolan\nolanjo01,CA,C,20,2018,Sault Ste. Marie (OHL),361,24,26,50,-26,333,,,,,,
187,Vancouver Canucks,Steven Anthony\anthost01,CA,LW,18,,Saint John (QMJHL),,,,,,,,,,,,
188,Toronto Maple Leafs,Barron Smith\smithba02,US,D,18,,Peterborough (OHL),,,,,,,,,,,,
189,San Jose Sharks,Marek Viedensky\viedema01,SK,C,19,,Prince George (WHL),,,,,,,,,,,,
190,Ottawa Senators,Brad Peltz\peltzbr01,US,LW,19,,Avon Old Farms (High-CT),,,,,,,,,,,,
191,Ottawa Senators,Michael Sdao\sdaomi01,US,D,20,,Lincoln (USHL),,,,,,,,,,,,
192,Nashville Predators,Cam Reid\reidca01,CA,C,18,,Westside (BCHL),,,,,,,,,,,,
193,Minnesota Wild,Anthony Hamburg\hambuan01,US,C,18,,Dallas Stars AAA (MWEHL),,,,,,,,,,,,
194,Buffalo Sabres,Maxime Legault\legauma01,CA,RW,20,,Shawinigan (QMJHL),,,,,,,,,,,,
195,Chicago Blackhawks,Paul Phillips\phillpa01,US,D,18,,Cedar Rapids (USHL),,,,,,,,,,,,
196,Philadelphia Flyers,Oliver Lauridsen\lauriol01,DK,D,20,2015,St. Cloud State (WCHA),16,2,1,3,-1,44,,,,,,
197,Columbus Blue Jackets,Kyle Neuber\neubeky01,CA,RW,20,,Mississauga St. Michael's (OHL),,,,,,,,,,,,
198,Los Angeles Kings,Nic Dowd\dowdni01,US,C,19,2019,Wenatchee (NAHL),140,10,18,28,-24,57,,,,,,
199,Montreal Canadiens,Michael Cichy\cichymi01,US,C,19,,Indiana (USHL),,,,,,,,,,,,
200,New York Rangers,Mikhail Pashnin\pashnmi01,RU,D,20,,Mechel Chelyabinsk (Russia-2),,,,,,,,,,,,
201,Calgary Flames,Gaelan Patterson\pattega01,CA,C,19,,Saskatoon (WHL),,,,,,,,,,,,
202,St. Louis Blues,Max Tardy\tardyma01,US,C,18,,Duluth East (High-MN),,,,,,,,,,,,
203,Atlanta Thrashers,Jordan Samuels-Thomas\samuejo01,US,LW,19,,Waterloo (USHL),,,,,,,,,,,,
204,New Jersey Devils,Curtis Gedig\gedigcu01,CA,D,18,,Cowichan Valley (BCHL),,,,,,,,,,,,
205,Washington Capitals,Benjamin Casavant\casavbe01,CA,LW,18,,PEI (QMJHL),,,,,,,,,,,,
206,Boston Bruins,Ben Sexton\sextobe01,CA,C,18,2018,Nepean (CJHL),2,0,0,0,-1,0,,,,,,
207,San Jose Sharks,Dominik Bielke\bielkdo01,DE,D,18,,Eisbaren Jrs. Berlin (German-3),,,,,,,,,,,,
208,Carolina Hurricanes,Tommi Kivisto\kivisto01,FI,D,18,,Red Deer (WHL),,,,,,,,,,,,
209,Chicago Blackhawks,David Gilbert\gilbeda01,CA,C,18,,Quebec (QMJHL),,,,,,,,,,,,
210,Detroit Red Wings,Adam Almqvist\almqvad01,SE,D,18,2014,HV 71 Jonkoping Jr. (Sweden-Jr.),2,1,0,1,-1,0,,,,,,
211,Montreal Canadiens,Petteri Simila\similpe01,FI,G,19,,Karpat Oulu Jr. ( ),,,,,,,,,,,,
