Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,New York Islanders,John Tavares\tavarjo01,CA,C,18,2019,London (OHL),679,279,354,633,-39,311,,,,,,
2,Tampa Bay Lightning,Victor Hedman\hedmavi01,SE,D,18,2019,MoDo Ornskoldsvik ( ),634,84,284,368,63,491,,,,,,
3,Colorado Avalanche,Matt Duchene\duchema01,CA,C,18,2019,Brampton (OHL),662,202,283,485,-85,158,,,,,,
4,Atlanta Thrashers,Evander Kane\kaneev01,CA,LW,18,2019,Vancouver (WCHL),583,190,173,363,-48,696,,,,,,
5,Los Angeles Kings,Brayden Schenn\schenbr01,CA,C,18,2019,Brandon (WHL),524,140,185,325,-24,281,,,,,,
6,Phoenix Coyotes,Oliver Ekman-Larsson\ekmanol01,SE,D,18,2019,Leksand (Sweden-2),585,102,193,295,-72,370,,,,,,
7,Toronto Maple Leafs,Nazem Kadri\kadrina01,CA,C,18,2019,London (OHL),498,146,172,318,-31,348,,,,,,
8,Dallas Stars,Scott Glennie\glennsc01,CA,RW,18,2012,Brandon (WHL),1,0,0,0,0,2,,,,,,
9,Ottawa Senators,Jared Cowen\cowenja01,CA,D,18,2016,Spokane (WHL),249,15,31,46,-7,174,,,,,,
10,Edmonton Oilers,Magnus Paajarvi\paajama01,SE,LW,18,2019,Timra ( ),395,51,54,105,-40,72,,,,,,
11,Nashville Predators,Ryan Ellis\ellisry01,CA,D,18,2019,Windsor (OHL),406,55,124,179,83,142,,,,,,
12,New York Islanders,Calvin de Haan\dehaaca01,CA,D,18,2019,Oshawa (OHL),313,12,70,82,30,126,,,,,,
13,Buffalo Sabres,Zack Kassian\kassiza01,CA,RW,18,2019,Peterborough (OHL),392,52,65,117,-33,619,,,,,,
14,Florida Panthers,Dmitry Kulikov\kulikdm01,RU,D,18,2019,Drummondville (QMJHL),572,33,122,155,-58,350,,,,,,
15,Anaheim Ducks,Peter Holland\hollape01,CA,C,18,2018,Guelph (OHL),266,36,49,85,-38,112,,,,,,
16,Minnesota Wild,Nick Leddy\leddyni01,US,D,18,2019,Eden Prairie (High-MN),586,56,202,258,-30,107,,,,,,
17,St. Louis Blues,David Rundblad\rundbda01,SE,D,18,2016,Skelleftea (Sweden),113,4,21,25,-6,30,,,,,,
18,Montreal Canadiens,Louis Leblanc\leblalo01,CA,C,18,2014,Omaha (USHL),50,5,5,10,4,32,,,,,,
19,New York Rangers,Chris Kreider\kreidch01,US,C,18,2019,Andover (High-MA),391,109,117,226,50,334,,,,,,
20,New Jersey Devils,Jacob Josefson\josefja01,SE,C,18,2018,Djurgarden (Sweden),315,20,44,64,-21,84,,,,,,
21,Columbus Blue Jackets,John Moore\moorejo01,US,D,18,2019,Chicago Steel (USHL),457,32,68,100,-25,190,,,,,,
22,Vancouver Canucks,Jordan Schroeder\schrojo01,US,C,18,2018,Minnesota (WCHA),165,18,24,42,5,14,,,,,,
23,Calgary Flames,Tim Erixon\erixoti01,US,D,18,2015,Skelleftea (Sweden),93,2,12,14,-3,38,,,,,,
24,Washington Capitals,Marcus Johansson\johanma03,SE,C/W,18,2019,Farjestad ( ),537,108,198,306,9,80,,,,,,
25,Boston Bruins,Jordan Caron\caronjo01,CA,RW,18,2016,Rimouski (QMJHL),157,12,16,28,-9,78,,,,,,
26,Anaheim Ducks,Kyle Palmieri\palmiky01,US,RW,18,2019,U.S. National U-18 (USNTDP),429,130,124,254,17,215,,,,,,
27,Carolina Hurricanes,Philippe Paradis\paradph01,CA,C,18,,Shawinigan (QMJHL),,,,,,,,,,,,
28,Chicago Blackhawks,Dylan Olsen\olsendy01,US,D,18,2016,Camrose (AJHL),124,5,17,22,-16,36,,,,,,
29,Tampa Bay Lightning,Carter Ashton\ashtoca01,CA,RW,18,2015,Lethbridge (WHL),54,0,3,3,-12,32,,,,,,
30,Pittsburgh Penguins,Simon Despres\desprsi01,CA,D,18,2017,Saint John (QMJHL),193,6,37,43,31,150,,,,,,
31,New York Islanders,Mikko Koskinen\koskimi01,FI,G,21,2011,Blues Espoo (Finland),4,0,0,0,0,0,4,2,1,0,.873,4.33
32,Detroit Red Wings,Landon Ferraro\ferrala01,CA,C,18,2018,Red Deer (WHL),77,7,5,12,-9,29,,,,,,
33,Colorado Avalanche,Ryan O'Reilly\oreilry01,CA,C,18,2019,Erie (OHL),660,157,276,433,-53,90,,,,,,
34,Atlanta Thrashers,Carl Klingberg\klingca01,SE,LW,18,2015,Vastra Frolunda Jr. ( ),12,1,0,1,0,4,,,,,,
35,Los Angeles Kings,Kyle Clifford\cliffky01,CA,LW,18,2019,Barrie (OHL),543,44,51,95,-11,692,,,,,,
36,Phoenix Coyotes,Chris Brown\brownch01,US,C,18,2016,U.S. National U-18 (USNTDP),23,2,1,3,1,21,,,,,,
37,Anaheim Ducks,Mat Clark\clarkma01,US,D,18,2015,Brampton (OHL),9,0,1,1,0,6,,,,,,
38,Dallas Stars,Alex Chiasson\chiasal01,CA,RW,18,2019,Des Moines (USHL),384,62,65,127,-23,222,,,,,,
39,Ottawa Senators,Jakob Silfverberg\silfvja01,SE,LW,18,2019,Brynas Gavle (Sweden),425,96,120,216,53,126,,,,,,
40,Edmonton Oilers,Anton Lander\landean01,SE,C,18,2017,Timra ( ),215,10,25,35,-41,56,,,,,,
41,Nashville Predators,Zach Budish\budisza01,US,RW,18,,Edina (High-MN),,,,,,,,,,,,
42,Nashville Predators,Charles-Olivier Roussel\roussch01,CA,D,18,,Shawinigan (QMJHL),,,,,,,,,,,,
43,San Jose Sharks,William Wrenn\wrennwi01,US,D,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,
44,Florida Panthers,Drew Shore\shoredr01,US,C,18,2017,U.S. National U-18 (USNTDP),94,9,17,26,-19,28,,,,,,
45,Atlanta Thrashers,Jeremy Morin\morinje01,US,LW,18,2015,U.S. National U-18 (USNTDP),82,10,12,22,8,69,,,,,,
46,Ottawa Senators,Robin Lehner\lehnero01,SE,G,18,2019,Vastra Frolunda Jr. ( ),224,0,3,3,0,22,224,74,99,36,.916,2.81
47,New York Rangers,Ethan Werek\wereket01,CA,C,18,,Kingston (OHL),,,,,,,,,,,,
48,St. Louis Blues,Brett Ponich\ponicbr01,CA,D,18,,Portland (WHL),,,,,,,,,,,,
49,Colorado Avalanche,Stefan Elliott\elliost01,CA,D,18,2016,Saskatoon (WHL),84,8,16,24,-6,16,,,,,,
50,Toronto Maple Leafs,Kenny Ryan\ryanke01,US,RW,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,
51,Carolina Hurricanes,Brian Dumoulin\dumoubr01,US,D,18,2019,N.H. Jr. Monarchs (EJHL),251,7,48,55,15,66,,,,,,
52,Tampa Bay Lightning,Richard Panik\panikri01,SK,RW,18,2019,Trinec (Czech),342,61,66,127,3,178,,,,,,
53,Vancouver Canucks,Anton Rodin\rodinan01,SE,RW,18,2017,Brynas Gavle Jr. (Sweden-Jr.),3,0,1,1,1,0,,,,,,
54,New Jersey Devils,Eric Gelinas\geliner01,CA,D,18,2017,Lewiston (QMJHL),189,14,41,55,-16,92,,,,,,
55,Washington Capitals,Dmitry Orlov\orlovdm01,RU,D,18,2019,Novokuznetsk (KHL),374,30,95,125,47,138,,,,,,
