Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Edmonton Oilers,Connor McDavid\mcdavco01,CA,C,18,2019,Erie (OHL),217,93,177,270,46,70,,,,,,
2,Buffalo Sabres,Jack Eichel\eicheja01,US,C,18,2019,Boston University (H-East),219,76,110,186,-55,78,,,,,,
3,Arizona Coyotes,Dylan Strome\stromdy01,CA,C,18,2019,Erie (OHL),37,6,6,12,-4,12,,,,,,
4,Toronto Maple Leafs,Mitchell Marner\marnemi01,CA,C,18,2019,London (OHL),169,45,98,143,1,68,,,,,,
5,Carolina Hurricanes,Noah Hanifin\hanifno01,US,D,18,2019,Boston College (H-East),249,18,67,85,-53,73,,,,,,
6,New Jersey Devils,Pavel Zacha\zachapa01,CZ,C,18,2019,Sarnia (OHL),147,16,35,51,-17,56,,,,,,
7,Philadelphia Flyers,Ivan Provorov\provoiv01,RU,D,18,2019,Brandon (WHL),174,23,51,74,4,58,,,,,,
8,Columbus Blue Jackets,Zach Werenski\werenza01,US,D,18,2019,Michigan (Big Ten),164,29,62,91,24,34,,,,,,
9,San Jose Sharks,Timo Meier\meierti01,CH,RW,18,2019,Halifax (QMJHL),124,29,21,50,7,63,,,,,,
10,Colorado Avalanche,Mikko Rantanen\rantami01,FI,RW,18,2019,TPS (Finland),175,53,85,138,-21,68,,,,,,
11,Florida Panthers,Lawson Crouse\crousla01,CA,LW,18,2019,Kingston (OHL),92,8,7,15,-24,71,,,,,,
12,Dallas Stars,Denis Gurianov\guriade01,RU,RW,18,2017,Togliatti 2 (Russia-Jr.),1,0,0,0,-1,0,,,,,,
13,Boston Bruins,Jakub Zboril\zborija01,CZ,D,18,,Saint John (QMJHL),,,,,,,,,,,,
14,Boston Bruins,Jake Debrusk\debruja01,CA,LW,18,2019,Swift Current (WHL),80,19,27,46,14,23,,,,,,
15,Boston Bruins,Zachary Senyshyn\senysza01,CA,RW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
16,New York Islanders,Mathew Barzal\barzama01,CA,C,18,2019,Seattle (WHL),92,23,70,93,-8,44,,,,,,
17,Winnipeg Jets,Kyle Connor\connoky01,US,LW,18,2019,Youngstown (USHL),106,37,34,71,4,24,,,,,,
18,Ottawa Senators,Thomas Chabot\chaboth01,CA,D,18,2019,Saint John (QMJHL),72,12,23,35,-12,18,,,,,,
19,Detroit Red Wings,Evgeny Svechnikov\svechev01,RU,LW,18,2018,Cape Breton (QMJHL),16,2,2,4,-2,8,,,,,,
20,Minnesota Wild,Joel Eriksson Ek\eriksjo02,SE,C,18,2019,Farjestad (Sweden),93,9,14,23,3,26,,,,,,
21,Ottawa Senators,Colin White\whiteco02,US,C,18,2019,USA U-18 (USHL),31,4,6,10,1,14,,,,,,
22,Washington Capitals,Ilya Samsonov\samsoil01,RU,G,18,,Magnitogorsk 2 (Russia-Jr.),,,,,,,,,,,,
23,Vancouver Canucks,Brock Boeser\boesebr01,US,RW,18,2019,Waterloo (USHL),80,35,31,66,-9,24,,,,,,
24,Philadelphia Flyers,Travis Konecny\konectr01,CA,C,18,2019,Ottawa (OHL),161,37,43,80,14,101,,,,,,
25,Winnipeg Jets,Jack Roslovic\rosloja01,US,C,18,2019,USA U-18 (USHL),42,5,11,16,5,4,,,,,,
26,Montreal Canadiens,Noah Juulsen\juulsno01,CA,D,18,2019,Everett (WHL),32,1,3,4,10,6,,,,,,
27,Anaheim Ducks,Jacob Larsson\larssja01,SE,D,18,2017,Frolunda Jr. (Sweden-Jr.),4,0,0,0,-1,2,,,,,,
28,New York Islanders,Anthony Beauvillier\beauvan01,CA,LW,18,2019,Shawinigan (QMJHL),144,30,30,60,-2,26,,,,,,
29,Columbus Blue Jackets,Gabriel Carlsson\carlsga01,SE,D,18,2019,Linkoping Jr. (Sweden-Jr.),17,0,3,3,-3,6,,,,,,
30,Arizona Coyotes,Nicholas Merkley\merklni01,CA,RW,18,2018,Kelowna (WHL),1,0,0,0,0,2,,,,,,
31,San Jose Sharks,Jeremy Roy\royje02,CA,D,18,,Sherbrooke (QMJHL),,,,,,,,,,,,
32,Arizona Coyotes,Christian Fischer\fischch01,US,RW,18,2019,USA U-18 (USHL),95,22,18,40,-18,22,,,,,,
33,Tampa Bay Lightning,Mitchell Stephens\stephmi01,CA,C,18,,Saginaw (OHL),,,,,,,,,,,,
34,Toronto Maple Leafs,Travis Dermott\dermotr01,CA,D,18,2019,Erie (OHL),46,1,13,14,11,10,,,,,,
35,Carolina Hurricanes,Sebastian Aho\ahose01,FI,RW,18,2019,Karpat (Finland),169,57,71,128,12,52,,,,,,
36,Ottawa Senators,Gabriel Gagne\gagnega01,CA,RW,18,,Victoriaville (QMJHL),,,,,,,,,,,,
37,Boston Bruins,Brandon Carlo\carlobr01,US,D,18,2019,Tri-City (WHL),168,6,18,24,23,106,,,,,,
38,Columbus Blue Jackets,Paul Bittner\bittnpa01,US,LW,18,,Portland (WHL),,,,,,,,,,,,
39,Colorado Avalanche,A.J. Greer\greeraj01,CA,LW,18,2018,Boston University (H-East),22,0,4,4,0,33,,,,,,
40,Colorado Avalanche,Nicolas Meloche\melocni01,CA,D,18,,Baie Comeau (QMJHL),,,,,,,,,,,,
41,New York Rangers,Ryan Gropp\groppry01,CA,LW,18,,Seattle (WHL),,,,,,,,,,,,
42,New Jersey Devils,MacKenzie Blackwood\blackma01,CA,G,18,,Barrie (OHL),,,,,,,,,,,,
43,Los Angeles Kings,Erik Cernak\cernaer01,SK,D,18,,Kosice (Slovakia),,,,,,,,,,,,
44,Tampa Bay Lightning,Matthew Spencer\spencma01,CA,D,18,,Peterborough (OHL),,,,,,,,,,,,
45,Boston Bruins,Jakob Forsbacka Karlsson\forsbja01,SE,C,18,2017,Omaha (USHL),1,0,0,0,0,0,,,,,,
46,Pittsburgh Penguins,Daniel Sprong\spronda01,NL,RW,18,2019,Charlottetown (QMJHL),33,4,4,8,-2,0,,,,,,
47,Winnipeg Jets,Jansen Harkins\harkija01,US,C,18,,Prince George (WHL),,,,,,,,,,,,
48,Ottawa Senators,Filip Chlapik\chlapfi01,CZ,C,18,2018,Charlottetown (QMJHL),20,1,3,4,-5,4,,,,,,
