Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Buffalo Sabres,Rasmus Dahlin\dahlira01,SE,D,18,2019,Frolunda (Sweden),10,1,3,4,-1,2,,,,,,
2,Carolina Hurricanes,Andrei Svechnikov\svechan01,RU,RW,18,2019,Barrie Colts (OHL),9,2,2,4,-1,10,,,,,,
3,Montreal Canadiens,Jesperi Kotkaniemi\kotkaje01,FI,C,18,2019,Assat (Finland),9,0,4,4,2,6,,,,,,
4,Ottawa Senators,Brady Tkachuk\tkachbr01,US,LW,18,2019,Boston University (H-East),4,3,3,6,5,4,,,,,,
5,Arizona Coyotes,Barrett Hayton\haytoba01,CA,C,18,,Sault Ste. Marie Greyhounds (OHL),,,,,,,,,,,,
6,Detroit Red Wings,Filip Zadina\zadinfi01,CZ,RW,18,,Halifax Mooseheads (QMJHL),,,,,,,,,,,,
7,Vancouver Canucks,Quintin Hughes\hughequ01,US,D,18,,Michigan (Big Ten),,,,,,,,,,,,
8,Chicago Blackhawks,Adam Boqvist\boqviad01,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
9,New York Rangers,Vitali Kravtsov\kravtvi01,RU,RW,18,,Chelyabinsk (Russia),,,,,,,,,,,,
10,Edmonton Oilers,Evan Bouchard\bouchev01,CA,D,18,2019,London Knights (OHL),7,1,0,1,-5,2,,,,,,
11,New York Islanders,Oliver Wahlstrom\wahlsol01,US,RW,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
12,New York Islanders,Noah Dobson\dobsono01,CA,D,18,,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,,
13,Dallas Stars,Ty Dellandrea\dellaty01,CA,C,18,,Flint Firebirds (OHL),,,,,,,,,,,,
14,Philadelphia Flyers,Joel Farabee\farabjo01,US,LW,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
15,Florida Panthers,Grigori Denisenko\denisgr01,RU,LW,18,,Yaroslavl 2 (Russia-Jr.),,,,,,,,,,,,
16,Colorado Avalanche,Martin Kaut\kautma01,CZ,RW,18,,Pardubice (Czech),,,,,,,,,,,,
17,New Jersey Devils,Ty Smith\smithty01,CA,D,18,,Spokane Chiefs (WHL),,,,,,,,,,,,
18,Columbus Blue Jackets,Liam Foudy\foudyli01,CA,C,18,,London Knights (OHL),,,,,,,,,,,,
19,Philadelphia Flyers,Jay O'Brien\obrieja01,US,C,18,,Thayer Academy (High-MA),,,,,,,,,,,,
20,Los Angeles Kings,Rasmus Kupari\kuparra01,FI,C,18,,Karpat (Finland),,,,,,,,,,,,
21,San Jose Sharks,Ryan Merkley\merklry01,CA,D,18,,Guelph Storm (OHL),,,,,,,,,,,,
22,New York Rangers,K'Andre Miller\milleka01,US,D,18,,USA U-18 (U.S. NTDP),,,,,,,,,,,,
23,Anaheim Ducks,Isac Lundestrom\lundeis01,SE,C,18,2019,Lulea (Sweden),9,0,1,1,1,2,,,,,,
24,Minnesota Wild,Filip Johansson\johanfi01,SE,D,18,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,
25,St. Louis Blues,Dominik Bokk\bokkdo01,DE,RW,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,
26,Ottawa Senators,Jacob Bernard-Docker\bernaja01,CA,D,18,,Okotoks (AJHL),,,,,,,,,,,,
27,Chicago Blackhawks,Nicolas Beaudin\beaudni01,CA,D,18,,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,,
