Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
63,Edmonton Oilers,Markus Niemelainen\niemema01,FI,D,18,,Saginaw (OHL),,,,,,,,,,,,
64,Vancouver Canucks,William Lockwood\lockwwi01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
65,Columbus Blue Jackets,Vitaly Abramov\abramvi01,RU,RW,18,,Gatineau (QMJHL),,,,,,,,,,,,
66,Calgary Flames,Adam Fox\foxad01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
67,Carolina Hurricanes,Matt Filipe\filipma01,US,LW,18,,Cedar Rapids (USHL),,,,,,,,,,,,
68,Arizona Coyotes,Cam Dineen\dineeca01,US,D,18,,North Bay (OHL),,,,,,,,,,,,
69,Buffalo Sabres,Cliff Pu\pucl01,CA,RW,18,,London (OHL),,,,,,,,,,,,
70,Montreal Canadiens,William Bitten\bittewi01,CA,C,18,,Flint (OHL),,,,,,,,,,,,
71,Colorado Avalanche,Josh Anderson\anderjo06,CA,D,18,,Prince George (WHL),,,,,,,,,,,,
72,Toronto Maple Leafs,James Greenway\greenja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
73,New Jersey Devils,Joseph Anderson\anderjo07,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
74,Carolina Hurricanes,Hudson Elynuik\elynuhu01,CA,C,18,,Spokane (WHL),,,,,,,,,,,,
75,Carolina Hurricanes,Jack LaFontaine\lafonja01,CA,G,18,,Janesville (NAHL),,,,,,,,,,,,
76,Nashville Predators,Rem Pitlick\pitlire01,CA,C,19,,Muskegon (USHL),,,,,,,,,,,,
77,Pittsburgh Penguins,Connor Hall\hallco01,CA,D,18,,Kitchener (OHL),,,,,,,,,,,,
78,Nashville Predators,Frederic Allard\allarfr01,CA,D,18,,Chicoutimi (QMJHL),,,,,,,,,,,,
79,Winnipeg Jets,Luke Green\greenlu01,CA,D,18,,Saint John (QMJHL),,,,,,,,,,,,
80,New Jersey Devils,Brandon Gignac\gignabr01,CA,C,18,,Shawinigan (QMJHL),,,,,,,,,,,,
81,New York Rangers,Sean Day\dayse01,BE,D,18,,Mississauga (OHL),,,,,,,,,,,,
82,Philadelphia Flyers,Carsen Twarynski\twaryca01,CA,LW,18,,Calgary (WHL),,,,,,,,,,,,
83,Chicago Blackhawks,Wouter Peeters\peetewo01,BE,G,18,,Ec Salzburg 2 (Austria-Jr.),,,,,,,,,,,,
84,Edmonton Oilers,Matthew Cairns\cairnma01,CA,D,18,,Georgetown (OJHL),,,,,,,,,,,,
85,Anaheim Ducks,Joshua Mahura\mahurjo01,CA,D,18,,Red Deer (WHL),,,,,,,,,,,,
86,Buffalo Sabres,Casey Fitzgerald\fitzgca01,US,D,19,,Boston College (H-East),,,,,,,,,,,,
87,Washington Capitals,Garrett Pilon\pilonga01,CA,C,18,,Kamloops (WHL),,,,,,,,,,,,
88,Tampa Bay Lightning,Connor Ingram\ingraco01,CA,G,19,,Kamloops (WHL),,,,,,,,,,,,
89,Florida Panthers,Linus Nassen\nasseli01,SE,D,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,
90,Dallas Stars,Fredrik Karlstrom\karlsfr01,SE,C,18,,AIK Jr. (Sweden-Jr.),,,,,,,,,,,,
91,Edmonton Oilers,Filip Berglund\berglfi01,SE,D,19,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,
92,Toronto Maple Leafs,Adam Brooks\brookad01,CA,C,20,,Regina (WHL),,,,,,,,,,,,
93,Anaheim Ducks,Jack Kopacka\kopacja01,US,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
94,Florida Panthers,Jonathan Ang\angjo01,CA,C,18,,Peterborough (OHL),,,,,,,,,,,,
95,New York Islanders,Anatoli Golyshev\golysan01,RU,LW,21,,Yekaterinburg (Russia),,,,,,,,,,,,
96,Calgary Flames,Linus Lindstrom\lindsli02,SE,C,18,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,
97,Winnipeg Jets,Jacob Cederholm\cederja01,SE,D,18,,HV 71 Jr. (Sweden-Jr.),,,,,,,,,,,,
98,New York Rangers,Tarmo Reunanen\reunata01,FI,D,18,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,
99,Buffalo Sabres,Brett Murray\murrabr02,CA,LW,18,,Carleton Place (CCHL),,,,,,,,,,,,
100,Montreal Canadiens,Victor Mete\metevi01,CA,D,18,2019,London (OHL),56,0,7,7,5,6,,,,,,
101,Toronto Maple Leafs,Keaton Middleton\middlke01,CA,D,18,,Saginaw (OHL),,,,,,,,,,,,
102,New Jersey Devils,Mikhail Maltsev\maltsmi01,RU,LW,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,
103,Ottawa Senators,Todd Burgess\burgeto01,US,RW,20,,Fairbanks (NAHL),,,,,,,,,,,,
104,Carolina Hurricanes,Max Zimmer\zimmema01,US,LW,18,,Chicago (USHL),,,,,,,,,,,,
105,New Jersey Devils,Evan Cormier\cormiev01,CA,G,18,,Saginaw (OHL),,,,,,,,,,,,
106,Minnesota Wild,Brandon Duhaime\duhaibr01,US,RW,19,,Tri-City (USHL),,,,,,,,,,,,
107,Detroit Red Wings,Alfons Malmstrom\malmsal01,SE,D,18,,Orebro Jr. (Sweden-Jr.),,,,,,,,,,,,
108,Nashville Predators,Hardy Haman Aktell\hamanha01,SE,D,18,,Skelleftea U18 (Sweden-Jr.),,,,,,,,,,,,
109,Philadelphia Flyers,Connor Bunnaman\bunnaco01,CA,C,18,,Kitchener (OHL),,,,,,,,,,,,
110,Chicago Blackhawks,Lucas Carlsson\carlslu01,SE,D,19,,Brynas (Sweden),,,,,,,,,,,,
111,San Jose Sharks,Noah Gregor\gregono01,CA,C,18,,Moose Jaw (WHL),,,,,,,,,,,,
112,Los Angeles Kings,Jacob Moverare\moverja01,SE,D,18,,HV 71 Jr. (Sweden-Jr.),,,,,,,,,,,,
113,Chicago Blackhawks,Nathan Noel\noelna01,CA,C,19,,Saint John (QMJHL),,,,,,,,,,,,
114,Florida Panthers,Riley Stillman\stillri01,CA,D,18,,Oshawa (OHL),,,,,,,,,,,,
115,Anaheim Ducks,Alex Dostie\dostial01,CA,C,19,,Gatineau (QMJHL),,,,,,,,,,,,
116,Dallas Stars,Rhett Gardner\gardnrh01,CA,C/LW,20,,North Dakota (NCHC),,,,,,,,,,,,
117,Washington Capitals,Damien Riat\riatda01,CH,LW,19,,Geneve (Swiss),,,,,,,,,,,,
118,Tampa Bay Lightning,Ross Colton\coltoro01,US,C,20,,Cedar Rapids (USHL),,,,,,,,,,,,
119,St. Louis Blues,Tanner Kaspick\kaspita01,CA,C,18,,Brandon (WHL),,,,,,,,,,,,
120,New York Islanders,Otto Koivula\koivuot01,FI,LW,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,
121,Pittsburgh Penguins,Ryan Jones\jonesry02,US,D,20,,Lincoln (USHL),,,,,,,,,,,,
122,Toronto Maple Leafs,Vladimir Bobylev\bobylvl01,RU,RW,19,,Victoria (WHL),,,,,,,,,,,,
123,Edmonton Oilers,Dylan Wells\wellsdy01,CA,G,18,,Peterborough (OHL),,,,,,,,,,,,
124,Montreal Canadiens,Casey Staum\staumca01,US,D,18,,Hill-Murray (High-MN),,,,,,,,,,,,
125,St. Louis Blues,Nolan Stevens\steveno01,CA,C,20,,Northeastern (H-East),,,,,,,,,,,,
126,Calgary Flames,Mitchell Mattson\mattsmi01,US,C,18,,Grand Rapids (High-MN),,,,,,,,,,,,
127,Winnipeg Jets,Jordan Stallard\stalljo01,CA,C,18,,Calgary (WHL),,,,,,,,,,,,
128,Dallas Stars,Colton Point\pointco01,CA,G,18,,Carleton Place (CCHL),,,,,,,,,,,,
129,Buffalo Sabres,Philip Nyberg\nyberph01,SE,D,19,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
130,Buffalo Sabres,Vojtech Budik\budikvo01,CZ,D,18,,Prince Albert (WHL),,,,,,,,,,,,
131,Colorado Avalanche,Adam Werner\wernead01,SE,G,19,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
132,New Jersey Devils,Yegor Rykov\rykovye01,RU,D,19,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
133,Ottawa Senators,Maxime Lajoie\lajoima01,CA,D,18,2019,Swift Current (WHL),8,4,3,7,2,4,,,,,,
134,Carolina Hurricanes,Jeremy Helvig\helvije01,CA,G,19,,Kingston (OHL),,,,,,,,,,,,
135,Boston Bruins,Joona Koppanen\koppajo01,FI,LW,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,
136,Boston Bruins,Cameron Clarke\clarkca01,US,D,20,,Lone Star (NAHL),,,,,,,,,,,,
137,Detroit Red Wings,Jordan Sambrook\sambrjo01,CA,D,18,,Erie (OHL),,,,,,,,,,,,
138,Nashville Predators,Patrick Harper\harpepa01,US,C,18,,Avon Old Farms (HIGH-CT),,,,,,,,,,,,
139,Philadelphia Flyers,Linus Hogberg\hogbeli01,SE,D,18,,Vaxjo Jr. (Sweden-Jr.),,,,,,,,,,,,
140,Vancouver Canucks,Cole Candella\candeco01,CA,D,18,,Hamilton (OHL),,,,,,,,,,,,
141,New York Rangers,Timothy Gettinger\gettiti01,US,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
142,Los Angeles Kings,Michael Eyssimont\eyssimi01,US,C,20,,St. Cloud State (NCHC),,,,,,,,,,,,
143,Chicago Blackhawks,Mathias From\fromma01,DK,W,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
144,St. Louis Blues,Conner Bleackley\bleacco02,CA,C,20,,Red Deer (WHL),,,,,,,,,,,,
145,Washington Capitals,Beck Malenstyn\malenbe01,CA,LW,18,,Calgary (WHL),,,,,,,,,,,,
146,Dallas Stars,Nicholas Caamano\caamani01,CA,RW,18,,Flint (OHL),,,,,,,,,,,,
147,Washington Capitals,Axel Jonsson-Fjallby\jonssax01,SE,LW,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
148,Tampa Bay Lightning,Christopher Paquette\paquech01,CA,C,18,,Niagara (OHL),,,,,,,,,,,,
149,Edmonton Oilers,Graham McPhee\mcphegr01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
150,San Jose Sharks,Manuel Wiederer\wiedema01,DE,C,19,,Moncton (QMJHL),,,,,,,,,,,,
151,Pittsburgh Penguins,Niclas Almari\almarni01,FI,D,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,
152,Toronto Maple Leafs,Jonathan Walker\walkejo01,US,D,20,,Victoria (WHL),,,,,,,,,,,,
153,Edmonton Oilers,Aapeli Rasanen\rasanaa01,FI,C,18,,Tappara Jr. (Finland-Jr.),,,,,,,,,,,,
154,Vancouver Canucks,Jakob Stukel\stukeja01,CA,LW,19,,Calgary (WHL),,,,,,,,,,,,
155,Columbus Blue Jackets,Peter Thome\thomepe01,US,G,19,,Aberdeen (NAHL),,,,,,,,,,,,
156,Calgary Flames,Eetu Tuulola\tuuloee01,FI,RW,18,,HPK Jr. (Finland-Jr.),,,,,,,,,,,,
157,Winnipeg Jets,Mikhail Berdin\berdimi01,RU,G,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,
158,Arizona Coyotes,Patrick Kudla\kudlapa01,CA,D,20,,Oakville (OJHL),,,,,,,,,,,,
159,Buffalo Sabres,Brandon Hagel\hagelbr01,CA,LW,18,,Red Deer (WHL),,,,,,,,,,,,
160,Montreal Canadiens,Michael Pezzetta\pezzemi01,CA,C,18,,Sudbury (OHL),,,,,,,,,,,,
161,Colorado Avalanche,Nathan Clurman\clurmna01,US,D,18,,Culver Academy (High-IN),,,,,,,,,,,,
162,New Jersey Devils,Jesper Bratt\brattje01,SE,W,18,2018,AIK (Sweden-2),74,13,22,35,-16,18,,,,,,
163,Ottawa Senators,Markus Nurmi\nurmima01,FI,RW,18,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,
164,Carolina Hurricanes,Noah Carroll\carrono01,CA,D,18,,Guelph (OHL),,,,,,,,,,,,
165,Boston Bruins,Oskar Steen\steenos01,SE,C,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
166,Calgary Flames,Matthew Phillips\phillma01,CA,C,18,,Victoria (WHL),,,,,,,,,,,,
167,Detroit Red Wings,Filip Larsson\larssfi01,SE,G,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
168,Nashville Predators,Konstantin Volkov\volkoko02,RU,G,18,,SKA St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
169,Philadelphia Flyers,Tanner Laczynski\laczyta01,US,C,19,,Lincoln (USHL),,,,,,,,,,,,
170,New York Islanders,Collin Adams\adamsco01,US,LW,18,,Muskegon (USHL),,,,,,,,,,,,
171,New York Rangers,Gabriel Fontaine\fontaga01,CA,C,19,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,
172,Philadelphia Flyers,Anthony Salinitri\salinan01,CA,C,18,,Sarnia (OHL),,,,,,,,,,,,
173,Chicago Blackhawks,Blake Hillman\hillmbl01,US,D,20,2018,Denver (NCHC),4,1,0,1,-1,0,,,,,,
174,New York Rangers,Tyler Wall\wallty01,CA,G,18,,Leamington (GOJHL),,,,,,,,,,,,
175,Florida Panthers,Maxim Mamin\maminma01,RU,C/RW,21,2019,CSKA (Russia),30,3,1,4,2,12,,,,,,
176,Dallas Stars,Jakob Stenqvist\stenqja01,SE,D,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,
177,Washington Capitals,Chase Priskie\priskch01,US,D,20,,Quinnipiac (ECAC),,,,,,,,,,,,
178,Tampa Bay Lightning,Oleg Sosunov\sosunol01,RU,D,18,,Loko-Yunior Yaroslav (Russia-Jr.),,,,,,,,,,,,
179,Toronto Maple Leafs,Nicolas Mattinen\mattini01,CA,D,18,,London (OHL),,,,,,,,,,,,
180,San Jose Sharks,Mark Shoemaker\shoemma01,CA,D,18,,North Bay (OHL),,,,,,,,,,,,
181,Pittsburgh Penguins,Joseph Masonius\masonjo01,US,D,19,,Connecticut (H-East),,,,,,,,,,,,
182,Toronto Maple Leafs,Nikolai Chebykin\chebyni01,RU,LW,19,,MVD Balashikha 2 (Russia),,,,,,,,,,,,
183,Edmonton Oilers,Vincent Desharnais\deshavi01,CA,D,20,,Providence (H-East),,,,,,,,,,,,
184,Vancouver Canucks,Rodrigo Abols\abolsro01,LV,C,20,,Portland (WHL),,,,,,,,,,,,
185,Columbus Blue Jackets,Calvin Thurkauf\thurkca01,CH,C,19,,Kelowna (WHL),,,,,,,,,,,,
186,Calgary Flames,Stepan Falkovsky\falkost01,BY,D,19,,Ottawa (OHL),,,,,,,,,,,,
187,Montreal Canadiens,Arvid Henrikson\henriar01,SE,D,18,,AIK U18 (Sweden-Jr.),,,,,,,,,,,,
188,Arizona Coyotes,Dean Stewart\stewade01,CA,D,18,,Portage (MJHL),,,,,,,,,,,,
189,Buffalo Sabres,Austin Osmanski\osmanau01,US,D,18,,Mississauga (OHL),,,,,,,,,,,,
190,Buffalo Sabres,Vasily Glotov\glotova01,RU,C,19,,Lvy St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,
191,Colorado Avalanche,Travis Barron\barrotr01,CA,LW,18,,Ottawa (OHL),,,,,,,,,,,,
192,New Jersey Devils,Jeremy Davies\davieje01,CA,D,19,,Bloomington (USHL),,,,,,,,,,,,
193,New York Islanders,Nick Pastujov\pastuni01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
194,Vancouver Canucks,Brett McKenzie\mckenbr02,CA,C,19,,North Bay (OHL),,,,,,,,,,,,
195,Florida Panthers,Benjamin Finkelstein\finkebe01,US,D,18,,Kimball Union (NEPSAC),,,,,,,,,,,,
196,Minnesota Wild,Dmitry Sokolov\sokoldm01,RU,RW,18,,Sudbury (OHL),,,,,,,,,,,,
197,Detroit Red Wings,Mattias Elfstrom\elfstma01,SE,LW,19,,Malmo Jr. (Sweden),,,,,,,,,,,,
198,Nashville Predators,Adam Smith\smithad01,CA,D,19,,Bowling Green (WCHA),,,,,,,,,,,,
199,Philadelphia Flyers,David Bernhardt\bernhda02,SE,D,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
200,New York Islanders,David Quenneville\quennda01,CA,D,18,,Medicine Hat (WHL),,,,,,,,,,,,
201,New York Rangers,Ty Ronning\ronnity01,CA,RW,18,,Vancouver (WHL),,,,,,,,,,,,
202,Los Angeles Kings,Jacob Friend\frienja01,CA,D,19,,Owen Sound (OHL),,,,,,,,,,,,
203,Chicago Blackhawks,Jake Ryczek\ryczeja01,US,D,18,,Waterloo (USHL),,,,,,,,,,,,
204,Minnesota Wild,Brayden Chizen\chizebr01,CA,D,18,,Kelowna (WHL),,,,,,,,,,,,
205,Anaheim Ducks,Tyler Soy\soyty01,CA,C,19,,Victoria (WHL),,,,,,,,,,,,
206,Tampa Bay Lightning,Otto Somppi\somppot01,FI,C,18,,Halifax (QMJHL),,,,,,,,,,,,
207,Washington Capitals,Dmitriy Zaitsev\zaitsdm01,RU,D,18,,WBS Knights (NAHL),,,,,,,,,,,,
208,Tampa Bay Lightning,Ryan Lohin\lohinry01,US,C,20,,Waterloo (USHL),,,,,,,,,,,,
209,St. Louis Blues,Nikolaj Krag Christensen\kragcni01,DK,C/LW,18,,Rodovre (DENMARK),,,,,,,,,,,,
210,San Jose Sharks,Joachim Blichfeld\blichjo01,DK,W,18,,Malmo Jr. (Sweden),,,,,,,,,,,,
211,St. Louis Blues,Filip Helt\heltfi01,CZ,LW,18,,Litvinov Jr. (Czech-Jr.),,,,,,,,,,,,
