Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Toronto Maple Leafs,Auston Matthews\matthau01,US,C,18,2019,Zurich (Swiss),154,84,64,148,26,28,,,,,,
2,Winnipeg Jets,Patrik Laine\lainepa01,FI,RW,18,2019,Tappara (Finland),165,83,56,139,12,58,,,,,,
3,Columbus Blue Jackets,Pierre-Luc Dubois\duboipi01,CA,LW,18,2019,Cape Breton (QMJHL),91,22,30,52,5,65,,,,,,
4,Edmonton Oilers,Jesse Puljujarvi\puljuje01,SE,RW,18,2019,Karpat (Finland),100,14,15,29,0,30,,,,,,
5,Vancouver Canucks,Olli Juolevi\juoleol01,FI,D,18,,London (OHL),,,,,,,,,,,,
6,Calgary Flames,Matthew Tkachuk\tkachma01,US,LW,18,2019,London (OHL),154,40,69,109,13,176,,,,,,
7,Arizona Coyotes,Clayton Keller\kellecl01,US,C,18,2019,USA U-18 (USHL),94,27,46,73,-12,28,,,,,,
8,Buffalo Sabres,Alexander Nylander\nylanal01,CA,LW,18,2018,Mississauga (OHL),7,1,1,2,-5,0,,,,,,
9,Montreal Canadiens,Mikhail Sergachev\sergami01,RU,D,18,2019,Windsor (OHL),91,9,34,43,17,40,,,,,,
10,Colorado Avalanche,Tyson Jost\jostty01,CA,C,18,2019,Penticton (BCHL),81,14,11,25,-17,30,,,,,,
11,Ottawa Senators,Logan Brown\brownlo01,US,C,18,2018,Windsor (OHL),4,0,1,1,0,0,,,,,,
12,New Jersey Devils,Michael McLeod\mcleomi01,CA,C,18,,Mississauga (OHL),,,,,,,,,,,,
13,Carolina Hurricanes,Jake Bean\beanja01,CA,D,18,,Calgary (WHL),,,,,,,,,,,,
14,Boston Bruins,Charles McAvoy\mcavoch01,US,D,18,2019,Boston University (H-East),70,8,30,38,21,63,,,,,,
15,Minnesota Wild,Luke Kunin\kuninlu01,US,C,18,2018,Wisconsin (Big Ten),19,2,2,4,-3,13,,,,,,
16,Arizona Coyotes,Jakob Chychrun\chychja01,US,D,18,2018,Sarnia (OHL),118,11,23,34,-12,63,,,,,,
17,Nashville Predators,Dante Fabbro\fabbrda01,CA,D,18,,Penticton (BCHL),,,,,,,,,,,,
18,Winnipeg Jets,Logan Stanley\stanllo01,CA,D,18,,Windsor (OHL),,,,,,,,,,,,
19,New York Islanders,Kieffer Bellows\belloki01,US,LW,18,,USA U-18 (USHL),,,,,,,,,,,,
20,Detroit Red Wings,Dennis Cholowski\cholode01,CA,D,18,2019,Chilliwack (BCHL),7,2,3,5,-4,4,,,,,,
21,Carolina Hurricanes,Julien Gauthier\gauthju01,CA,RW,18,,Val d'Or (QMJHL),,,,,,,,,,,,
22,Philadelphia Flyers,German Rubtsov\rubtsge01,RU,C,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,
23,Florida Panthers,Henrik Borgström\borgshe01,FI,C,19,2018,HIFK Jr. (Finland-Jr.),4,1,0,1,-1,0,,,,,,
24,Anaheim Ducks,Max Jones\jonesma03,US,LW,18,,London (OHL),,,,,,,,,,,,
25,Dallas Stars,Riley Tufte\tufteri01,US,LW,18,,Blaine (High-MN),,,,,,,,,,,,
26,St. Louis Blues,Tage Thompson\thompta01,US,C,18,2019,Connecticut (H-East),48,3,6,9,-13,14,,,,,,
27,Tampa Bay Lightning,Brett Howden\howdebr01,CA,C,18,2019,Moose Jaw (WHL),10,2,3,5,-3,4,,,,,,
28,Washington Capitals,Lucas Johansen\johanlu01,CA,D,18,,Kelowna (WHL),,,,,,,,,,,,
29,Boston Bruins,Trent Frederic\fredetr01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
30,Anaheim Ducks,Sam Steel\steelsa01,CA,C,18,2019,Regina (WHL),11,1,2,3,-3,4,,,,,,
31,Toronto Maple Leafs,Yegor Korshkov\korshye01,RU,RW,20,,Yaroslavl (Russia),,,,,,,,,,,,
32,Edmonton Oilers,Tyler Benson\bensoty01,CA,LW,18,,Vancouver (WHL),,,,,,,,,,,,
33,Buffalo Sabres,Rasmus Asplund\asplura01,SE,C,18,,Farjestad (Sweden),,,,,,,,,,,,
34,Columbus Blue Jackets,Andrew Peeke\peekean01,US,D,18,,Green Bay (USHL),,,,,,,,,,,,
35,St. Louis Blues,Jordan Kyrou\kyroujo01,CA,C,18,2019,Sarnia (OHL),9,0,1,1,-3,2,,,,,,
36,Philadelphia Flyers,Pascal Laberge\laberpa01,CA,C,18,,Victoriaville (QMJHL),,,,,,,,,,,,
37,Tampa Bay Lightning,Libor Hajek\hajekli01,CZ,D,18,,Saskatoon (WHL),,,,,,,,,,,,
38,Florida Panthers,Adam Mascherin\maschad01,CA,LW,18,,Kitchener (OHL),,,,,,,,,,,,
39,Chicago Blackhawks,Alexander Debrincat\debrial01,US,RW,18,2019,Erie (OHL),92,36,30,66,12,10,,,,,,
40,Colorado Avalanche,Cameron Morrison\morrica01,CA,LW,18,,Youngstown (USHL),,,,,,,,,,,,
41,New Jersey Devils,Nathan Bastian\bastina01,CA,RW,18,,Mississauga (OHL),,,,,,,,,,,,
42,Ottawa Senators,Jonathan Dahlen\dahlejo01,SE,C,18,,Timra (Sweden-2),,,,,,,,,,,,
43,Carolina Hurricanes,Janne Kuokkanen\kuokkja01,FI,C/LW,18,2018,Karpat Jr. (Finland-Jr.),4,0,0,0,-3,0,,,,,,
44,Tampa Bay Lightning,Boris Katchouk\katchbo01,CA,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
45,Chicago Blackhawks,Chad Krys\krysch01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
46,Detroit Red Wings,Givani Smith\smithgi01,CA,RW,18,,Guelph (OHL),,,,,,,,,,,,
47,Nashville Predators,Samuel Girard\girarsa01,CA,D,18,2019,Shawinigan (QMJHL),83,4,22,26,-7,8,,,,,,
48,Philadelphia Flyers,Carter Hart\hartca01,CA,G,18,,Everett (WHL),,,,,,,,,,,,
49,Boston Bruins,Ryan Lindgren\lindgry01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
50,Chicago Blackhawks,Artur Kayumov\kayumar01,RU,W,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,
51,Los Angeles Kings,Kale Clague\claguka01,CA,D,18,,Brandon (WHL),,,,,,,,,,,,
52,Philadelphia Flyers,Wade Allison\alliswa01,CA,RW,18,,Tri-City (USHL),,,,,,,,,,,,
53,Detroit Red Wings,Filip Hronek\hronefi01,CZ,D,18,2019,HR. Kralove (Czech),6,1,2,3,-2,18,,,,,,
54,Calgary Flames,Tyler Parsons\parsoty01,US,G,18,,London (OHL),,,,,,,,,,,,
55,Pittsburgh Penguins,Filip Gustavsson\gustafi01,SE,G,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,
56,Calgary Flames,Dillon Dube\dubedi01,CA,C,18,2019,Kelowna (WHL),9,0,2,2,2,0,,,,,,
57,Toronto Maple Leafs,Carl Grundstrom\grundca01,SE,RW,18,,Modo (Sweden),,,,,,,,,,,,
58,Tampa Bay Lightning,Taylor Raddysh\raddyta01,CA,RW,18,,Erie (OHL),,,,,,,,,,,,
59,St. Louis Blues,Evan Fitzpatrick\fitzpev01,CA,G,18,,Sherbrooke (QMJHL),,,,,,,,,,,,
60,San Jose Sharks,Dylan Gambrell\gambrdy01,US,C,20,2018,Denver (NCHC),3,0,0,0,-1,0,,,,,,
61,Pittsburgh Penguins,Kasper Bjorkqvist\bjorkka01,FI,RW,19,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
62,Toronto Maple Leafs,Joseph Woll\wolljo01,US,G,18,,USA U-18 (USHL),,,,,,,,,,,,
