Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Edmonton Oilers,Taylor Hall\hallta02,CA,LW,18,2019,Windsor (OHL),536,192,292,484,-21,306,,,,,,
2,Boston Bruins,Tyler Seguin\seguity01,CA,C,18,2019,Plymouth (OHL),599,232,284,516,69,185,,,,,,
3,Florida Panthers,Erik Gudbranson\gudbrer01,CA,D,18,2019,Kingston (OHL),402,14,41,55,-71,424,,,,,,
4,Columbus Blue Jackets,Ryan Johansen\johanry01,CA,C,18,2019,Portland (WHL),522,118,234,352,15,326,,,,,,
5,New York Islanders,Nino Niederreiter\niedeni01,CH,RW,18,2019,Portland (WHL),461,103,107,210,22,219,,,,,,
6,Tampa Bay Lightning,Brett Connolly\connobr01,CA,RW,18,2019,Prince George (WHL),355,58,57,115,-1,176,,,,,,
7,Carolina Hurricanes,Jeff Skinner\skinnje01,CA,C,18,2019,Kitchener (OHL),589,209,180,389,-87,270,,,,,,
8,Atlanta Thrashers,Alexander Burmistrov\burmial01,RU,C,18,2018,Barrie (OHL),348,37,64,101,-31,139,,,,,,
9,Minnesota Wild,Mikael Granlund\granlmi01,FI,C,18,2019,HIFK Helsinki (Finland),407,82,193,275,36,100,,,,,,
10,New York Rangers,Dylan McIlrath\mcilrdy01,CA,D,18,2017,Moose Jaw (WHL),43,3,2,5,4,94,,,,,,
11,Dallas Stars,Jack Campbell\campbja01,US,G,18,2019,USA U-18 (USHL),14,0,0,0,0,0,14,4,5,2,.915,2.81
12,Anaheim Ducks,Cam Fowler\fowleca01,CA,D,18,2019,Windsor (OHL),572,53,200,253,-36,153,,,,,,
13,Phoenix Coyotes,Brandon Gormley\gormlbr01,CA,D,18,2016,Moncton (QMJHL),58,2,3,5,-6,20,,,,,,
14,St. Louis Blues,Jaden Schwartz\schwaja01,CA,C,18,2019,Tri-City (USHL),387,114,160,274,73,105,,,,,,
15,Los Angeles Kings,Derek Forbort\forbode01,US,D,18,2019,USA U-18 (USHL),183,4,36,40,25,124,,,,,,
16,St. Louis Blues,Vladimir Tarasenko\tarasvl01,RU,RW,18,2019,Novosibirsk (Russia),430,181,176,357,62,123,,,,,,
17,Colorado Avalanche,Joey Hishon\hishojo01,CA,C,18,2015,Owen Sound (OHL),13,1,1,2,-1,0,,,,,,
18,Nashville Predators,Austin Watson\watsoau01,US,LW,18,2018,Peterborough (OHL),216,23,24,47,10,254,,,,,,
19,Florida Panthers,Nick Bjugstad\bjugsni01,US,C,18,2019,Blaine (High-MN),370,84,99,183,-46,166,,,,,,
20,Pittsburgh Penguins,Beau Bennett\bennebe01,US,RW,18,2018,Penticton (BCHL),200,24,40,64,-2,52,,,,,,
21,Detroit Red Wings,Riley Sheahan\sheahri01,CA,C,18,2019,Notre Dame (CCHA),373,50,82,132,-31,60,,,,,,
22,Montreal Canadiens,Jarred Tinordi\tinorja01,US,D,18,2016,USA U-18 (USHL),53,0,6,6,-7,78,,,,,,
23,Buffalo Sabres,Mark Pysyk\pysykma01,CA,D,18,2019,Edmonton (WHL),294,12,49,61,-24,80,,,,,,
24,Chicago Blackhawks,Kevin Hayes\hayeske01,US,RW,18,2019,Nobles (High-MA),320,75,102,177,30,92,,,,,,
25,Florida Panthers,Quinton Howden\howdequ01,CA,C,18,2017,Moose Jaw (WHL),97,10,7,17,-11,30,,,,,,
26,Washington Capitals,Evgeny Kuznetsov\kuzneev01,RU,C,18,2019,Chelyabinsk (Russia),349,85,193,278,55,164,,,,,,
27,Phoenix Coyotes,Mark Visentin\visenma01,CA,G,18,2014,Niagara (OHL),1,0,0,0,,0,1,0,1,0,.906,3.06
