Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
58,Phoenix Coyotes,Jordan Martinook\martijo01,CA,LW,20,2019,Vancouver (WCHL),256,29,40,69,-42,107,,,,,,
59,New York Rangers,Cristoval Nieves\nievecr01,US,C,18,2018,Kent School (High-CT),29,1,8,9,5,12,,,,,,
60,New Jersey Devils,Damon Severson\severda01,CA,D,18,2019,Kelowna (WHL),286,20,79,99,-59,160,,,,,,
61,Dallas Stars,Devin Shore\shorede01,CA,C,18,2019,Whitby (OJHL),176,25,45,70,-31,28,,,,,,
62,Columbus Blue Jackets,Joonas Korpisalo\korpijo01,FI,G,18,2019,Jokerit Jr. (Finland-Jr.),66,0,0,0,0,2,66,34,24,6,.909,2.89
63,Edmonton Oilers,Jujhar Khaira\khairju01,CA,LW,18,2019,Prince George (BCHL),101,12,12,24,-11,69,,,,,,
64,Montreal Canadiens,Tim Bozon\bozonti01,US,LW,18,,Kamloops (WHL),,,,,,,,,,,,
65,New York Islanders,Adam Pelech\pelecad01,CA,D,18,2019,Erie (OHL),138,6,25,31,-1,34,,,,,,
66,Nashville Predators,Jimmy Vesey\veseyji02,US,LW,19,2019,South Shore (EJHL),169,36,22,58,-35,53,,,,,,
67,St. Louis Blues,Mackenzie MacEachern\maceama01,US,LW,18,,Brother Rice High (High-MI),,,,,,,,,,,,
68,Minnesota Wild,John Draeger\draegjo01,US,D,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
69,Carolina Hurricanes,Daniel Altshuller\altshda01,CA,G,18,,Oshawa (OHL),,,,,,,,,,,,
70,Winnipeg Jets,Scott Kosmachuk\kosmasc01,CA,RW,18,2016,Guelph (OHL),8,0,3,3,1,2,,,,,,
71,Tampa Bay Lightning,Tanner Richard\richata01,CA,C,19,2017,Guelph (OHL),3,0,0,0,-2,2,,,,,,
72,Colorado Avalanche,Troy Bourke\bourktr01,CA,LW,18,,Prince George (WHL),,,,,,,,,,,,
73,Buffalo Sabres,Justin Kea\keaju01,CA,C,18,,Saginaw (OHL),,,,,,,,,,,,
74,Dallas Stars,Esa Lindell\lindees01,FI,D,18,2019,Jokerit Jr. (Finland-Jr.),166,13,35,48,26,52,,,,,,
75,Calgary Flames,Jon Gillies\gillijo01,US,G,18,2018,Indiana (USHL),12,0,0,0,0,2,12,4,5,1,.903,2.71
76,Ottawa Senators,Chris Driedger\driedch01,CA,G,18,2017,Calgary (WHL),3,0,0,0,0,0,3,0,1,0,.889,2.53
77,Washington Capitals,Chandler Stephenson\stephch02,CA,C/LW,18,2019,Regina (WHL),89,7,13,20,5,10,,,,,,
78,Philadelphia Flyers,Shayne Gostisbehere\gostish01,US,D,19,2019,Union (ECAC),230,38,116,154,-11,81,,,,,,
79,Chicago Blackhawks,Chris Calnan\calnach01,US,RW,18,,Nobles (High-MA),,,,,,,,,,,,
80,Detroit Red Wings,Jake Paterson\paterja01,CA,G,18,,Saginaw (OHL),,,,,,,,,,,,
81,Pittsburgh Penguins,Oskar Sundqvist\sundqos01,SE,C,18,2019,Skelleftea Jr. (Sweden-Jr.),71,2,7,9,-10,22,,,,,,
82,Ottawa Senators,Jarrod Maidens\maideja01,CA,C/LW,18,,Owen Sound (OHL),,,,,,,,,,,,
83,Pittsburgh Penguins,Matt Murray\murrama02,CA,G,18,2019,Sault Ste. Marie (OHL),116,0,3,3,0,4,116,72,29,8,.916,2.62
84,Florida Panthers,Steven Hodges\hodgest01,CA,C,18,,Victoria (WHL),,,,,,,,,,,,
85,Boston Bruins,Matthew Grzelcyk\grzelma01,US,D,18,2019,USA U-18 (USHL),73,3,17,20,22,26,,,,,,
86,St. Louis Blues,Colton Parayko\parayco01,CA,D,19,2019,Fort McMurray (AJHL),251,21,85,106,28,78,,,,,,
87,Anaheim Ducks,Frederik Andersen\anderfr01,DK,G,22,2019,Frolunda (Sweden),265,0,7,7,0,24,265,153,66,31,.918,2.55
88,Phoenix Coyotes,James Melindy\melinja01,CA,D,18,,Moncton (QMJHL),,,,,,,,,,,,
89,Nashville Predators,Brendan Leipsic\leipsbr01,CA,LW,18,2019,Portland (WHL),69,7,20,27,-10,18,,,,,,
90,New Jersey Devils,Ben Johnson\johnsbe02,US,C/LW,18,,Windsor (OHL),,,,,,,,,,,,
91,Edmonton Oilers,Daniil Zharkov\zharkda01,RU,LW,18,,Belleville (OHL),,,,,,,,,,,,
92,Pittsburgh Penguins,Matia Marcantuoni\marcama01,CA,C/RW,18,,Kitchener (OHL),,,,,,,,,,,,
93,Edmonton Oilers,Erik Gustafsson\gustaer02,SE,D,20,2019,Djurgarden (Sweden),86,6,29,35,15,12,,,,,,
94,Montreal Canadiens,Brady Vail\vailbr01,US,C,18,,Windsor (OHL),,,,,,,,,,,,
95,Columbus Blue Jackets,Josh Anderson\anderjo05,CA,RW,18,2019,London (OHL),168,42,28,70,15,143,,,,,,
96,New Jersey Devils,Ben Thomson\thomsbe01,CA,LW,19,2017,Kitchener (OHL),3,0,0,0,-4,4,,,,,,
97,Anaheim Ducks,Kevin Roy\royke01,CA,C,19,2018,Lincoln (USHL),25,6,1,7,3,6,,,,,,
98,Minnesota Wild,Adam Gilmour\gilmoad01,US,C,18,,Nobles (High-MA),,,,,,,,,,,,
99,Carolina Hurricanes,Erik Karlsson\karlser02,SE,C/LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
100,Washington Capitals,Thomas Di Pauli\dipauth01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
101,Tampa Bay Lightning,Cedric Paquette\paquece01,CA,C,19,2019,Blainville-Boisbriand (QMJHL),244,28,23,51,-9,229,,,,,,
102,Phoenix Coyotes,Rhett Holland\hollarh01,CA,D,18,,Okotoks (AJHL),,,,,,,,,,,,
103,New York Islanders,Loic Leduc\leduclo01,CA,D,18,,Cape Breton (QMJHL),,,,,,,,,,,,
104,Dallas Stars,Gemel Smith\smithge02,CA,C,18,2019,Owen Sound (OHL),65,9,8,17,2,38,,,,,,
105,Calgary Flames,Brett Kulak\kulakbr01,CA,D,18,2018,Vancouver (WCHL),101,2,9,11,-8,41,,,,,,
106,Ottawa Senators,Timothy Boyle\boyleti01,US,D,19,,Nobles (High-MA),,,,,,,,,,,,
107,Washington Capitals,Austin Wuthrich\wuthrau01,US,RW,19,,Notre Dame (CCHA),,,,,,,,,,,,
108,Anaheim Ducks,Andrew O'Brien\obriean01,CA,D,19,,Chicoutimi (QMJHL),,,,,,,,,,,,
109,San Jose Sharks,Christophe Lalancette\lalanch01,CA,RW,18,,Acadie-Bathurst (QMJHL),,,,,,,,,,,,
110,Detroit Red Wings,Andreas Athanasiou\athanan01,CA,C/LW,18,2019,London (OHL),181,46,35,81,-25,49,,,,,,
111,Philadelphia Flyers,Fredric Larsson\larssfr01,SE,D,18,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,
112,Nashville Predators,Zach Stepan\stepaza01,US,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
113,Pittsburgh Penguins,Sean Maguire\maguise01,CA,G,19,,Powell River (BCHL),,,,,,,,,,,,
114,Florida Panthers,Alexander Delnov\delnoal01,RU,LW,18,,Mytischi 2 (Russia-Jr.),,,,,,,,,,,,
115,Carolina Hurricanes,Trevor Carrick\carritr01,CA,D,18,2018,Mississauga St. Michael's (OHL),3,0,0,0,-1,2,,,,,,
116,St. Louis Blues,Nicholas Walters\walteni01,CA,D,18,,Everett (WHL),,,,,,,,,,,,
117,Philadelphia Flyers,Taylor Leier\leierta01,CA,LW,18,2018,Portland (WHL),55,2,5,7,-8,10,,,,,,
118,Nashville Predators,Mikko Vainonen\vainomi01,FI,D,18,,HIFK Jr. (Finland-Jr.),,,,,,,,,,,,
119,New York Rangers,Calle Andersson\anderca01,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
120,Carolina Hurricanes,Jaccob Slavin\slavija01,US,D,18,2019,Chicago (USHL),236,15,73,88,24,30,,,,,,
121,Los Angeles Kings,Nikolay Prokhorkin\prokhni01,RU,LW,18,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
122,Montreal Canadiens,Charles Hudon\hudonch01,CA,LW,18,2019,Chicoutimi (QMJHL),84,12,25,37,-10,46,,,,,,
123,Edmonton Oilers,Joey Laleggia\lalegjo01,CA,D,20,,Denver (WCHA),,,,,,,,,,,,
124,Calgary Flames,Ryan Culkin\culkiry01,CA,D,18,,Quebec (QMJHL),,,,,,,,,,,,
125,New York Islanders,Doyle Somerby\somerdo01,US,D,18,,Kimball Union (High-NH),,,,,,,,,,,,
126,Toronto Maple Leafs,Dominic Toninato\tonindo01,US,C,18,2018,Duluth East (High-MN),37,0,2,2,0,12,,,,,,
127,Anaheim Ducks,Brian Cooper\coopebr01,US,D,18,,Fargo (USHL),,,,,,,,,,,,
128,Minnesota Wild,Daniel Gunnarsson\gunnada01,SE,D,20,,Lulea (Sweden),,,,,,,,,,,,
129,Carolina Hurricanes,Brendan Woods\woodsbr01,CA,LW,20,2016,Wisconsin (WCHA),7,0,0,0,-1,7,,,,,,
130,Winnipeg Jets,Connor Hellebuyck\helleco01,US,G,19,2019,Odessa (NAHL),157,0,2,2,0,0,157,87,44,15,.916,2.57
131,Boston Bruins,Seth Griffith\griffse01,CA,C,19,2018,London (OHL),79,8,11,19,-6,24,,,,,,
132,Colorado Avalanche,Michael Clarke\clarkmi01,CA,C,18,,Windsor (OHL),,,,,,,,,,,,
133,Buffalo Sabres,Logan Nelson\nelsolo01,US,C,19,,Victoria (WHL),,,,,,,,,,,,
134,Dallas Stars,Branden Troock\troocbr01,CA,RW,18,,Seattle (WHL),,,,,,,,,,,,
135,New Jersey Devils,Graham Black\blackgr01,CA,C,19,,Swift Current (WHL),,,,,,,,,,,,
136,Ottawa Senators,Robert Baillargeon\baillro01,US,C,18,,Indiana (USHL),,,,,,,,,,,,
137,Washington Capitals,Connor Carrick\carrico01,US,D,18,2019,USA U-18 (USHL),175,10,24,34,-3,118,,,,,,
138,San Jose Sharks,Daniel O'Regan\oregada01,DE,C,18,2018,St. Sebastian's (High-MA),24,1,4,5,-4,2,,,,,,
139,Chicago Blackhawks,Garret Ross\rossga01,US,LW,20,,Saginaw (OHL),,,,,,,,,,,,
140,Detroit Red Wings,Michael McKee\mckeemi02,CA,D,19,,Lincoln (USHL),,,,,,,,,,,,
141,Philadelphia Flyers,Reece Willcox\willcre01,CA,D,18,,Merritt (BCHL),,,,,,,,,,,,
142,New York Rangers,Thomas Spelling\spellth01,DK,RW,19,,Herning (Denmark),,,,,,,,,,,,
143,Pittsburgh Penguins,Clark Seymour\seymocl01,CA,D,19,,Peterborough (OHL),,,,,,,,,,,,
144,Dallas Stars,Henri Kiviaho\kiviahe01,FI,G,18,,Kalpa Jr. (Finland-Jr.),,,,,,,,,,,,
145,Boston Bruins,Cody Payne\payneco01,GB,RW,18,,Plymouth (OHL),,,,,,,,,,,,
146,St. Louis Blues,Francois Tremblay\trembfr01,CA,G,18,,Val-D'Or (QMJHL),,,,,,,,,,,,
147,Vancouver Canucks,Ben Hutton\huttobe01,CA,D,19,2019,Nepean (CCHL),216,7,44,51,-55,78,,,,,,
148,Phoenix Coyotes,Niklas Tikkinen\tikkini01,FI,D,18,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,
149,Chicago Blackhawks,Travis Brown\browntr01,CA,D,18,,Moose Jaw (WHL),,,,,,,,,,,,
150,New Jersey Devils,Alexander Kerfoot\kerfoal01,CA,C,18,2019,Coquitlam (BCHL),89,20,29,49,-9,38,,,,,,
151,Los Angeles Kings,Colin Miller\milleco02,CA,D,19,2019,Sault Ste. Marie (OHL),194,19,52,71,-5,153,,,,,,
152,Columbus Blue Jackets,Daniel Zaar\zaarda01,SE,RW,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
153,Edmonton Oilers,John McCarron\mccarjo02,US,RW,20,,Cornell (ECAC),,,,,,,,,,,,
154,Montreal Canadiens,Erik Nystrom\nystrer02,SE,LW,18,,MODO Jr. (Sweden-Jr.),,,,,,,,,,,,
155,New York Islanders,Jesse Graham\grahaje01,CA,D,18,,Niagara (OHL),,,,,,,,,,,,
156,Toronto Maple Leafs,Connor Brown\brownco02,CA,RW,18,2019,Erie (OHL),181,36,38,74,-2,30,,,,,,
157,Toronto Maple Leafs,Ryan Rupert\ruperry01,CA,C,18,,London (OHL),,,,,,,,,,,,
158,Minnesota Wild,Christoph Bertschy\bertsch02,CH,C,18,2018,Bern (Swiss),9,0,1,1,1,8,,,,,,
159,Carolina Hurricanes,Collin Olson\olsonco01,US,G,18,,USA U-18 (USHL),,,,,,,,,,,,
160,Winnipeg Jets,Ryan Olsen\olsenry01,CA,C,18,,Saskatoon (WHL),,,,,,,,,,,,
161,Tampa Bay Lightning,Jake Dotchin\dotchja01,CA,D,18,2018,Owen Sound (OHL),83,3,19,22,27,73,,,,,,
162,Colorado Avalanche,Joseph Blandisi\blandjo01,CA,C/RW,18,2019,Owen Sound (OHL),72,8,18,26,-22,62,,,,,,
163,Buffalo Sabres,Linus Ullmark\ullmali01,SE,G,19,2019,MODO Jr. (Sweden-Jr.),28,0,0,0,0,0,28,11,13,2,.922,2.36
164,Nashville Predators,Simon Fernholm\fernhsi01,SE,D,18,,Huddinge Jr. (Sweden-Jr.),,,,,,,,,,,,
165,Calgary Flames,Coda Gordon\gordoco01,CA,LW,18,,Swift Current (WHL),,,,,,,,,,,,
166,Ottawa Senators,Francois Brassard\brassfr01,CA,G,18,,Quebec (QMJHL),,,,,,,,,,,,
167,Washington Capitals,Riley Barber\barberi01,US,RW,18,2017,USA U-18 (USHL),3,0,0,0,0,0,,,,,,
168,San Jose Sharks,Clifford Watson\watsocl01,US,D,18,,Sioux City (USHL),,,,,,,,,,,,
169,Chicago Blackhawks,Vincent Hinostroza\hinosvi01,US,C,18,2019,Waterloo (USHL),115,15,28,43,2,37,,,,,,
170,Detroit Red Wings,James De Haas\dehaaja01,CA,D,18,,Toronto Lakeshore (OJHL),,,,,,,,,,,,
171,Los Angeles Kings,Tomas Hyka\hykato01,CZ,RW,19,2019,Gatineau (QMJHL),15,1,2,3,0,2,,,,,,
172,Nashville Predators,Max Gortz\gortzma01,SE,RW,19,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
173,Pittsburgh Penguins,Anton Zlobin\zlobian01,RU,RW,19,,Shawinigan (QMJHL),,,,,,,,,,,,
174,Florida Panthers,Francis Beauvillier\beauvfr01,CA,C/LW,18,,Rimouski (QMJHL),,,,,,,,,,,,
175,Boston Bruins,Matthew Benning\bennima01,CA,D,18,2019,Spruce Grove (AJHL),139,9,27,36,9,78,,,,,,
176,St. Louis Blues,Petteri Lindbohm\lindbpe02,FI,D,18,2017,Jokerit Jr. (Finland-Jr.),40,2,1,3,-9,37,,,,,,
177,Vancouver Canucks,Wesley Myron\myronwe01,CA,LW,20,,Victoria (WHL),,,,,,,,,,,,
178,Phoenix Coyotes,Hunter Fejes\fejeshu01,US,LW,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
179,Nashville Predators,Marek Mazanec\mazanma01,CZ,G,21,2017,Plzen (Czech),31,0,1,1,0,0,31,8,13,4,.895,2.98
180,New Jersey Devils,Artur Gavrus\gavruar01,BY,C/LW,18,,Owen Sound (OHL),,,,,,,,,,,,
181,Los Angeles Kings,Paul Ladue\laduepa01,US,D,20,2019,Lincoln (USHL),39,4,9,13,0,22,,,,,,
182,Columbus Blue Jackets,Gianluca Curcuruto\curcugi01,CA,D,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
183,Dallas Stars,Dmitry Sinitsyn\sinitdm01,RU,D,18,,Zelenograd Jr./U. Mass-Lowell (H-East),,,,,,,,,,,,
184,Phoenix Coyotes,Marek Langhamer\langhma01,CZ,G,18,2018,Pardubice Jr. (Czech),2,0,0,0,0,0,2,0,0,0,.944,1.35
185,New York Islanders,Jake Bischoff\bischja01,US,D,18,,Grand Rapids (High-MN),,,,,,,,,,,,
186,Calgary Flames,Matthew Deblouw\debloma01,US,C,18,,Muskegon (USHL),,,,,,,,,,,,
187,Anaheim Ducks,Kenton Helgesen\helgeke01,CA,D,18,,Calgary (WHL),,,,,,,,,,,,
188,Minnesota Wild,Louis Nanne\nannelo02,US,LW,18,,Edina High (High-MN),,,,,,,,,,,,
189,Carolina Hurricanes,Brendan Collier\collibr01,US,LW,18,,Malden Catholic (High-MA),,,,,,,,,,,,
190,Winnipeg Jets,Jamie Phillips\phillja01,CA,G,19,,Toronto Jr. Canadiens (OJHL),,,,,,,,,,,,
191,Chicago Blackhawks,Brandon Whitney\whitnbr01,CA,G,18,,Victoriaville (QMJHL),,,,,,,,,,,,
192,Colorado Avalanche,Colin Smith\smithco01,CA,C,19,2015,Kamloops (WHL),1,0,0,0,0,0,,,,,,
193,Buffalo Sabres,Brady Austin\austibr01,CA,D,19,2017,Belleville (OHL),5,0,0,0,0,4,,,,,,
194,Florida Panthers,Jonatan Nielsen\nielsjo01,SE,D,19,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
195,Washington Capitals,Christian Djoos\djoosch01,SE,D,18,2019,Brynas Jr. (Sweden-Jr.),72,3,13,16,14,12,,,,,,
196,Ottawa Senators,Mikael Wikstrand\wikstmi01,SE,D,18,,Mora (Sweden-2),,,,,,,,,,,,
197,Washington Capitals,Jaynen Rissling\risslja01,CA,D,18,,Calgary (WHL),,,,,,,,,,,,
198,San Jose Sharks,Joakim Ryan\ryanjo02,US,D,19,2019,Cornell (ECAC),71,3,10,13,18,15,,,,,,
199,Chicago Blackhawks,Matt Tomkins\tomkima01,CA,G,18,,Sherwood Park (AJHL),,,,,,,,,,,,
200,Detroit Red Wings,Rasmus Bodin\bodinra01,SE,LW,18,,Ostersunds (Sweden),,,,,,,,,,,,
201,Philadelphia Flyers,Valeri Vasiliev\vasilva01,RU,D,18,,Spartak 2 (Russia-Jr.),,,,,,,,,,,,
202,Tampa Bay Lightning,Nikita Gusev\gusevni01,RU,LW,20,,CSKA 2 (Russia-Jr.),,,,,,,,,,,,
203,Washington Capitals,Sergey Kostenko\kostese01,RU,G,19,,Novokuznetsk 2 (Russia-Jr.),,,,,,,,,,,,
204,Buffalo Sabres,Judd Peterson\peterju02,US,C/RW,18,,Duluth Marshall (High-MN),,,,,,,,,,,,
205,Boston Bruins,Colton Hargrove\hargrco01,US,LW,20,,Fargo (USHL),,,,,,,,,,,,
206,St. Louis Blues,Tyrel Seaman\seamaty01,CA,C,18,,Brandon (WHL),,,,,,,,,,,,
207,Vancouver Canucks,Matthew Beattie\beattma01,US,LW,19,,Exeter (High-NH),,,,,,,,,,,,
208,Phoenix Coyotes,Justin Hache\hacheju01,CA,D,18,,Shawinigan (QMJHL),,,,,,,,,,,,
209,Toronto Maple Leafs,Viktor Loov\loovvi01,SE,D,19,2016,Sodertalje (Sweden-2),4,0,2,2,4,0,,,,,,
210,Anaheim Ducks,Jaycob Megna\megnaja02,US,D,19,2018,Nebraska-Omaha (WCHA),15,0,1,1,-3,2,,,,,,
211,Los Angeles Kings,Nick Ebert\ebertni01,US,D,18,,Windsor (OHL),,,,,,,,,,,,
