Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
1,Edmonton Oilers,Nail Yakupov\yakupna01,RU,RW,18,2018,Sarnia (OHL),350,62,74,136,-89,142,,,,,,
2,Columbus Blue Jackets,Ryan Murray\murrary01,CA,D,18,2019,Everett (WHL),273,12,65,77,-1,90,,,,,,
3,Montreal Canadiens,Alex Galchenyuk\galchal01,US,C,18,2019,Sarnia (OHL),420,108,148,256,-34,151,,,,,,
4,New York Islanders,Griffin Reinhart\reinhgr01,CA,D,18,2016,Edmonton (WHL),37,0,2,2,-5,26,,,,,,
5,Toronto Maple Leafs,Morgan Rielly\riellmo01,CA,D,18,2019,Moose Jaw (WHL),398,35,150,185,-65,89,,,,,,
6,Anaheim Ducks,Hampus Lindholm\lindhha01,SE,D,18,2019,Rogle Jr. (Sweden-Jr.),382,44,106,150,89,180,,,,,,
7,Minnesota Wild,Mathew Dumba\dumbama01,CA,D,18,2019,Red Deer (WHL),319,47,86,133,45,165,,,,,,
8,Pittsburgh Penguins,Derrick Pouliot\poulide01,CA,D,18,2019,Portland (WHL),149,5,33,38,-33,57,,,,,,
9,Winnipeg Jets,Jacob Trouba\troubja01,US,D,18,2019,USA U-18 (USHL),336,35,101,136,31,247,,,,,,
10,Tampa Bay Lightning,Slater Koekkoek\koekksl01,CA,D,18,2018,Peterborough (OHL),76,4,9,13,-1,30,,,,,,
11,Washington Capitals,Filip Forsberg\forsbfi01,SE,C,18,2019,Leksand (Sweden-2),341,124,142,266,35,151,,,,,,
12,Buffalo Sabres,Mikhail Grigorenko\grigomi01,RU,C,18,2017,Quebec (QMJHL),217,22,42,64,-26,30,,,,,,
13,Dallas Stars,Radek Faksa\faksara01,CZ,C,18,2019,Kitchener (OHL),213,35,45,80,22,128,,,,,,
14,Buffalo Sabres,Zemgus Girgensons\girgeze01,LV,C,18,2019,Dubuque (USHL),358,44,60,104,-40,103,,,,,,
15,Ottawa Senators,Cody Ceci\cecico01,CA,D,18,2019,Ottawa (OHL),370,25,67,92,-41,72,,,,,,
16,Washington Capitals,Tom Wilson\wilsoto01,CA,RW,18,2018,Plymouth (OHL),391,35,69,104,22,806,,,,,,
17,San Jose Sharks,Tomas Hertl\hertlto01,CZ,C,18,2019,Slavia (Czech),337,84,95,179,8,105,,,,,,
18,Chicago Blackhawks,Teuvo Teravainen\teravte01,FI,LW,18,2019,Jokerit (Finland),287,56,102,158,11,52,,,,,,
19,Tampa Bay Lightning,Andrey Vasilevskiy\vasilan02,RU,G,18,2019,Ufa 2 (Russia-Jr.),161,0,4,4,0,16,161,89,50,12,.918,2.58
20,Philadelphia Flyers,Scott Laughton\laughsc01,CA,C,18,2019,Oshawa (OHL),200,23,29,52,-12,109,,,,,,
21,Calgary Flames,Mark Jankowski\jankoma01,CA,C,18,2019,Stanstead College (High-QC),81,17,10,27,-9,37,,,,,,
22,Pittsburgh Penguins,Olli Maatta\maattol01,FI,D,18,2019,London (OHL),309,24,70,94,52,88,,,,,,
23,Florida Panthers,Michael Matheson\mathemi01,CA,D,18,2019,Dubuque (USHL),171,17,27,44,-7,105,,,,,,
24,Boston Bruins,Malcolm Subban\subbama01,CA,G,18,2019,Belleville (OHL),26,0,0,0,0,2,26,13,7,2,.903,2.82
25,St. Louis Blues,Jordan Schmaltz\schmajo01,US,D,18,2019,Green Bay (USHL),29,0,4,4,0,12,,,,,,
26,Vancouver Canucks,Brendan Gaunce\gauncbr01,CA,C,18,2018,Belleville (OHL),114,5,7,12,-11,45,,,,,,
27,Phoenix Coyotes,Henrik Samuelsson\samuehe01,US,C/RW,18,2015,Edmonton (WHL),3,0,0,0,-2,2,,,,,,
28,New York Rangers,Brady Skjei\skjeibr01,US,D,18,2019,USA U-18 (USHL),179,10,57,67,-16,91,,,,,,
29,New Jersey Devils,Stefan Matteau\mattest02,US,LW,18,2018,USA U-18 (USHL),64,3,4,7,-14,27,,,,,,
30,Los Angeles Kings,Tanner Pearson\pearsta01,CA,LW,20,2019,Barrie (OHL),318,69,75,144,38,84,,,,,,
31,Columbus Blue Jackets,Oscar Dansk\danskos01,SE,G,18,2018,Brynas Jr. (Sweden-Jr.),4,0,0,0,0,0,4,3,0,0,.946,1.78
32,Edmonton Oilers,Mitchell Moroz\morozmi01,CA,LW,18,,Edmonton (WHL),,,,,,,,,,,,
33,Montreal Canadiens,Sebastian Collberg\collbse01,SE,RW,18,,Frolunda (Sweden),,,,,,,,,,,,
34,New York Islanders,Ville Pokka\pokkavi01,FI,D,18,,Karpat (Finland),,,,,,,,,,,,
35,Toronto Maple Leafs,Matt Finn\finnma01,CA,D,18,,Guelph (OHL),,,,,,,,,,,,
36,Anaheim Ducks,Nicolas Kerdiles\kerdini01,US,LW,18,2018,USA U-18 (USHL),3,0,0,0,1,0,,,,,,
37,Nashville Predators,Pontus Aberg\abergpo01,SE,LW,18,2019,Djurgarden (Sweden),73,5,13,18,4,18,,,,,,
38,Carolina Hurricanes,Phillip Di Giuseppe\digiuph01,CA,LW,18,2019,Michigan (CCHA),128,13,24,37,-14,54,,,,,,
39,Winnipeg Jets,Lukas Sutter\suttelu01,US,C,18,,Saskatoon (WHL),,,,,,,,,,,,
40,Tampa Bay Lightning,Dylan Blujus\blujudy01,US,D,18,,Brampton (OHL),,,,,,,,,,,,
41,Colorado Avalanche,Mitchell Heard\heardmi01,CA,C,20,,Plymouth (OHL),,,,,,,,,,,,
42,Calgary Flames,Patrick Sieloff\sielopa01,US,D,18,2018,USA U-18 (USHL),2,2,0,2,-1,2,,,,,,
43,Dallas Stars,Ludwig Bystrom\bystrlu01,SE,D,18,,MODO Jr. (Sweden-Jr.),,,,,,,,,,,,
44,Buffalo Sabres,Jake McCabe\mccabja01,US,D,18,2019,Wisconsin (WCHA),225,11,41,52,-12,126,,,,,,
45,Philadelphia Flyers,Anthony Stolarz\stolaan01,US,G,18,2017,Corpus Christi (NAHL),7,0,0,0,0,0,7,2,1,1,.928,2.07
46,Minnesota Wild,Raphael Bussieres\bussira01,CA,LW,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
47,Carolina Hurricanes,Brock McGinn\mcginbr01,CA,LW,18,2019,Guelph (OHL),167,26,24,50,-41,40,,,,,,
48,Chicago Blackhawks,Dillon Fournier\fourndi01,CA,D,18,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,
49,Detroit Red Wings,Martin Frk\frkma01,CZ,RW,18,2019,Halifax (QMJHL),71,11,14,25,-17,16,,,,,,
50,Nashville Predators,Colton Sissons\sissoco01,CA,C,18,2019,Kelowna (WHL),200,23,27,50,26,77,,,,,,
51,Montreal Canadiens,Dalton Thrower\throwda01,CA,D,18,,Saskatoon (WHL),,,,,,,,,,,,
52,Pittsburgh Penguins,Teddy Blueger\bluegte01,LV,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,
53,Tampa Bay Lightning,Brian Hart\hartbr01,US,RW,18,,Exeter (High-NH),,,,,,,,,,,,
54,Dallas Stars,Mike Winther\winthmi01,CA,C,18,,Prince Albert (WHL),,,,,,,,,,,,
55,San Jose Sharks,Chris Tierney\tiernch01,CA,C,18,2019,London (OHL),292,43,70,113,-11,46,,,,,,
56,St. Louis Blues,Sam Kurker\kurkesa01,US,RW,18,,St. John's Prep (High-MA),,,,,,,,,,,,
57,Vancouver Canucks,Alexandre Mallet\malleal01,CA,LW,20,,Rimouski (QMJHL),,,,,,,,,,,,
