,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
21,22,Vancouver Canucks,Jordan Schroeder\schrojo01,US,C,18.0,2018.0,Minnesota (WCHA),165.0,18.0,24.0,42.0,5.0,14.0,,,,,,,2009,30,0.7,1,True,0.10909090909090909,0.14545454545454545,0.2545454545454545,Jordan Schroeder,schrojo01,WCHA
22,23,Calgary Flames,Tim Erixon\erixoti01,US,D,18.0,2015.0,Skelleftea (Sweden),93.0,2.0,12.0,14.0,-3.0,38.0,,,,,,,2009,30,0.7333333333333333,1,True,0.021505376344086023,0.12903225806451613,0.15053763440860216,Tim Erixon,erixoti01,Sweden
23,24,Washington Capitals,Marcus Johansson\johanma03,SE,C,18.0,2019.0,Farjestad ( ),537.0,108.0,198.0,306.0,9.0,80.0,,,,,,,2009,30,0.7666666666666667,1,True,0.2011173184357542,0.3687150837988827,0.5698324022346368,Marcus Johansson,johanma03, 
24,25,Boston Bruins,Jordan Caron\caronjo01,CA,RW,18.0,2016.0,Rimouski (QMJHL),157.0,12.0,16.0,28.0,-9.0,78.0,,,,,,,2009,30,0.8,1,True,0.07643312101910828,0.10191082802547771,0.17834394904458598,Jordan Caron,caronjo01,QMJHL
25,26,Anaheim Ducks,Kyle Palmieri\palmiky01,US,RW,18.0,2019.0,U.S. National U-18 (USNTDP),429.0,130.0,124.0,254.0,17.0,215.0,,,,,,,2009,30,0.8333333333333334,1,True,0.30303030303030304,0.289044289044289,0.5920745920745921,Kyle Palmieri,palmiky01,USNTDP
26,27,Carolina Hurricanes,Philippe Paradis\paradph01,CA,C,18.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,0.8666666666666667,1,True,,,,Philippe Paradis,paradph01,QMJHL
27,28,Chicago Blackhawks,Dylan Olsen\olsendy01,US,D,18.0,2016.0,Camrose (AJHL),124.0,5.0,17.0,22.0,-16.0,36.0,,,,,,,2009,30,0.9,1,True,0.04032258064516129,0.13709677419354838,0.1774193548387097,Dylan Olsen,olsendy01,AJHL
28,29,Tampa Bay Lightning,Carter Ashton\ashtoca01,CA,RW,18.0,2015.0,Lethbridge (WHL),54.0,0.0,3.0,3.0,-12.0,32.0,,,,,,,2009,30,0.9333333333333333,1,True,0.0,0.05555555555555555,0.05555555555555555,Carter Ashton,ashtoca01,WHL
29,30,Pittsburgh Penguins,Simon Despres\desprsi01,CA,D,18.0,2017.0,Saint John (QMJHL),193.0,6.0,37.0,43.0,31.0,150.0,,,,,,,2009,30,0.9666666666666667,1,True,0.031088082901554404,0.19170984455958548,0.22279792746113988,Simon Despres,desprsi01,QMJHL
30,31,New York Islanders,Mikko Koskinen\koskimi01,FI,G,21.0,2011.0,Blues Espoo (Finland),4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.873,4.33,2009,30,1.0,2,False,0.0,0.0,0.0,Mikko Koskinen,koskimi01,Finland
31,32,Detroit Red Wings,Landon Ferraro\ferrala01,CA,C,18.0,2018.0,Red Deer (WHL),77.0,7.0,5.0,12.0,-9.0,29.0,,,,,,,2009,30,1.0333333333333334,2,False,0.09090909090909091,0.06493506493506493,0.15584415584415584,Landon Ferraro,ferrala01,WHL
32,33,Colorado Avalanche,Ryan O'Reilly\oreilry01,CA,C,18.0,2019.0,Erie (OHL),660.0,157.0,276.0,433.0,-53.0,90.0,,,,,,,2009,30,1.0666666666666667,2,False,0.23787878787878788,0.41818181818181815,0.656060606060606,Ryan O'Reilly,oreilry01,OHL
33,34,Atlanta Thrashers,Carl Klingberg\klingca01,SE,LW,18.0,2015.0,Vastra Frolunda Jr. ( ),12.0,1.0,0.0,1.0,0.0,4.0,,,,,,,2009,30,1.1,2,False,0.08333333333333333,0.0,0.08333333333333333,Carl Klingberg,klingca01, 
34,35,Los Angeles Kings,Kyle Clifford\cliffky01,CA,LW,18.0,2019.0,Barrie (OHL),543.0,44.0,51.0,95.0,-11.0,692.0,,,,,,,2009,30,1.1333333333333333,2,False,0.08103130755064457,0.09392265193370165,0.17495395948434622,Kyle Clifford,cliffky01,OHL
35,36,Phoenix Coyotes,Chris Brown\brownch01,US,C,18.0,2016.0,U.S. National U-18 (USNTDP),23.0,2.0,1.0,3.0,1.0,21.0,,,,,,,2009,30,1.1666666666666667,2,False,0.08695652173913043,0.043478260869565216,0.13043478260869565,Chris Brown,brownch01,USNTDP
36,37,Anaheim Ducks,Mat Clark\clarkma01,US,D,18.0,2015.0,Brampton (OHL),9.0,0.0,1.0,1.0,0.0,6.0,,,,,,,2009,30,1.2,2,False,0.0,0.1111111111111111,0.1111111111111111,Mat Clark,clarkma01,OHL
37,38,Dallas Stars,Alex Chiasson\chiasal01,CA,RW,18.0,2019.0,Des Moines (USHL),384.0,62.0,65.0,127.0,-23.0,222.0,,,,,,,2009,30,1.2333333333333334,2,False,0.16145833333333334,0.16927083333333334,0.3307291666666667,Alex Chiasson,chiasal01,USHL
38,39,Ottawa Senators,Jakob Silfverberg\silfvja01,SE,LW,18.0,2019.0,Brynas Gavle (Sweden),425.0,96.0,120.0,216.0,53.0,126.0,,,,,,,2009,30,1.2666666666666666,2,False,0.22588235294117648,0.2823529411764706,0.508235294117647,Jakob Silfverberg,silfvja01,Sweden
39,40,Edmonton Oilers,Anton Lander\landean01,SE,C,18.0,2017.0,Timra ( ),215.0,10.0,25.0,35.0,-41.0,56.0,,,,,,,2009,30,1.3,2,False,0.046511627906976744,0.11627906976744186,0.16279069767441862,Anton Lander,landean01, 
40,41,Nashville Predators,Zach Budish\budisza01,US,RW,18.0,,Edina (High-MN),,,,,,,,,,,,,2009,30,1.3333333333333333,2,False,,,,Zach Budish,budisza01,High-MN
41,42,Nashville Predators,Charles-Olivier Roussel\roussch01,CA,D,18.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,1.3666666666666667,2,False,,,,Charles-Olivier Roussel,roussch01,QMJHL
42,43,San Jose Sharks,William Wrenn\wrennwi01,US,D,18.0,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,2009,30,1.4,2,False,,,,William Wrenn,wrennwi01,USNTDP
43,44,Florida Panthers,Drew Shore\shoredr01,US,C,18.0,2017.0,U.S. National U-18 (USNTDP),94.0,9.0,17.0,26.0,-19.0,28.0,,,,,,,2009,30,1.4333333333333333,2,False,0.09574468085106383,0.18085106382978725,0.2765957446808511,Drew Shore,shoredr01,USNTDP
44,45,Atlanta Thrashers,Jeremy Morin\morinje01,US,LW,18.0,2015.0,U.S. National U-18 (USNTDP),82.0,10.0,12.0,22.0,8.0,69.0,,,,,,,2009,30,1.4666666666666666,2,False,0.12195121951219512,0.14634146341463414,0.2682926829268293,Jeremy Morin,morinje01,USNTDP
45,46,Ottawa Senators,Robin Lehner\lehnero01,SE,G,18.0,2019.0,Vastra Frolunda Jr. ( ),224.0,0.0,3.0,3.0,0.0,22.0,224.0,74.0,99.0,36.0,0.9159999999999999,2.81,2009,30,1.5,2,False,0.0,0.013392857142857142,0.013392857142857142,Robin Lehner,lehnero01, 
46,47,New York Rangers,Ethan Werek\wereket01,CA,C,18.0,,Kingston (OHL),,,,,,,,,,,,,2009,30,1.5333333333333334,2,False,,,,Ethan Werek,wereket01,OHL
47,48,St. Louis Blues,Brett Ponich\ponicbr01,CA,D,18.0,,Portland (WHL),,,,,,,,,,,,,2009,30,1.5666666666666667,2,False,,,,Brett Ponich,ponicbr01,WHL
48,49,Colorado Avalanche,Stefan Elliott\elliost01,CA,D,18.0,2016.0,Saskatoon (WHL),84.0,8.0,16.0,24.0,-6.0,16.0,,,,,,,2009,30,1.6,2,False,0.09523809523809523,0.19047619047619047,0.2857142857142857,Stefan Elliott,elliost01,WHL
49,50,Toronto Maple Leafs,Kenny Ryan\ryanke01,US,RW,18.0,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,2009,30,1.6333333333333333,2,False,,,,Kenny Ryan,ryanke01,USNTDP
50,51,Carolina Hurricanes,Brian Dumoulin\dumoubr01,US,D,18.0,2019.0,N.H. Jr. Monarchs (EJHL),251.0,7.0,48.0,55.0,15.0,66.0,,,,,,,2009,30,1.6666666666666667,2,False,0.027888446215139442,0.19123505976095617,0.21912350597609562,Brian Dumoulin,dumoubr01,EJHL
