,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
518,99,New Jersey Devils,Reid Boucher\bouchre01,US,RW,18.0,2018.0,USA U-18 (USHL),132.0,20.0,22.0,42.0,-33.0,18.0,,,,,,,2011,30,3.2666666666666666,4,False,0.15151515151515152,0.16666666666666666,0.3181818181818182,Reid Boucher,bouchre01,USHL
519,100,Toronto Maple Leafs,Tom Nilsson\nilssto01,SE,D,18.0,,Mora Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,3.3,4,False,,,,Tom Nilsson,nilssto01,Sweden-Jr.
520,101,Vancouver Canucks,Joseph Labate\labatjo01,US,C,18.0,2017.0,Holy Angels (High-MN),13.0,0.0,0.0,0.0,-2.0,21.0,,,,,,,2011,30,3.3333333333333335,4,False,0.0,0.0,0.0,Joseph Labate,labatjo01,High-MN
521,102,St. Louis Blues,Yannick Veilleux\veillya01,CA,LW,18.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2011,30,3.3666666666666667,4,False,,,,Yannick Veilleux,veillya01,QMJHL
522,103,Carolina Hurricanes,Gregory Hofmann\hofmagr01,CH,C,18.0,,Ambri (Swiss),,,,,,,,,,,,,2011,30,3.4,4,False,,,,Gregory Hofmann,hofmagr01,Swiss
523,104,Calgary Flames,John Gaudreau\gaudrjo01,US,LW,18.0,2019.0,Dubuque (USHL),322.0,102.0,198.0,300.0,8.0,64.0,,,,,,,2011,30,3.433333333333333,4,False,0.3167701863354037,0.6149068322981367,0.9316770186335404,John Gaudreau,gaudrjo01,USHL
524,105,Dallas Stars,Emil Molin\molinem01,SE,RW,18.0,,Brynas Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,3.466666666666667,4,False,,,,Emil Molin,molinem01,Sweden-Jr.
525,106,New York Rangers,Michael St. Croix\st.crmi01,CA,C,18.0,,Edmonton (WHL),,,,,,,,,,,,,2011,30,3.5,4,False,,,,Michael St. Croix,st.crmi01,WHL
526,107,Buffalo Sabres,Colin Jacobs\jacobco01,US,C,18.0,,Seattle (WHL),,,,,,,,,,,,,2011,30,3.533333333333333,4,False,,,,Colin Jacobs,jacobco01,WHL
527,108,Montreal Canadiens,Olivier Archambault\archaol01,CA,LW,18.0,,Val-d'Or (QMJHL),,,,,,,,,,,,,2011,30,3.566666666666667,4,False,,,,Olivier Archambault,archaol01,QMJHL
528,109,Chicago Blackhawks,Maxim Shalunov\shaluma01,RU,RW,18.0,,Chelyabinsk Jr. (Russia-Jr.),,,,,,,,,,,,,2011,30,3.6,4,False,,,,Maxim Shalunov,shaluma01,Russia-Jr.
529,110,Los Angeles Kings,Michael Mersch\merscmi01,US,LW,18.0,2016.0,Wisconsin (WCHA),17.0,1.0,2.0,3.0,1.0,0.0,,,,,,,2011,30,3.6333333333333333,4,False,0.058823529411764705,0.11764705882352941,0.17647058823529413,Michael Mersch,merscmi01,WCHA
530,111,Phoenix Coyotes,Kale Kessy\kessyka01,CA,LW,18.0,,Medicine Hat (WHL),,,,,,,,,,,,,2011,30,3.6666666666666665,4,False,,,,Kale Kessy,kessyka01,WHL
531,112,Nashville Predators,Garrett Noonan\noonaga01,US,D,20.0,,Boston University (H-East),,,,,,,,,,,,,2011,30,3.7,4,False,,,,Garrett Noonan,noonaga01,H-East
532,113,Montreal Canadiens,Magnus Nygren\nygrema01,SE,D,21.0,,Farjestad (Sweden),,,,,,,,,,,,,2011,30,3.7333333333333334,4,False,,,,Magnus Nygren,nygrema01,Sweden
533,114,Edmonton Oilers,Tobias Rieder\riedeto01,DE,C,18.0,2019.0,Kitchener (OHL),320.0,55.0,65.0,120.0,-62.0,38.0,,,,,,,2011,30,3.7666666666666666,4,False,0.171875,0.203125,0.375,Tobias Rieder,riedeto01,OHL
534,115,Detroit Red Wings,Marek Tvrdon\tvrdoma01,SK,RW,18.0,,Vancouver (WCHL),,,,,,,,,,,,,2011,30,3.8,4,False,,,,Marek Tvrdon,tvrdoma01,WCHL
535,116,Philadelphia Flyers,Colin Suellentrop\suellco01,US,D,18.0,,Oshawa (OHL),,,,,,,,,,,,,2011,30,3.8333333333333335,4,False,,,,Colin Suellentrop,suellco01,OHL
536,117,Washington Capitals,Steffen Soberg\soberst01,NO,G,18.0,,Manglerud (Norway),,,,,,,,,,,,,2011,30,3.8666666666666667,4,False,,,,Steffen Soberg,soberst01,Norway
537,118,Philadelphia Flyers,Marcel Noebels\noebema01,DE,LW,19.0,,Seattle (WHL),,,,,,,,,,,,,2011,30,3.9,4,False,,,,Marcel Noebels,noebema01,WHL
538,119,Winnipeg Jets,Zachary Yuen\yuenza01,CA,D,18.0,,Tri-City (WHL),,,,,,,,,,,,,2011,30,3.933333333333333,4,False,,,,Zachary Yuen,yuenza01,WHL
539,120,Vancouver Canucks,Ludwig Blomstrand\blomslu01,SE,LW,18.0,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,3.966666666666667,4,False,,,,Ludwig Blomstrand,blomslu01,Sweden-Jr.
540,121,Boston Bruins,Brian Ferlin\ferlibr01,US,RW,19.0,2015.0,Indiana (USHL),7.0,0.0,1.0,1.0,0.0,0.0,,,,,,,2011,30,4.0,5,False,0.0,0.14285714285714285,0.14285714285714285,Brian Ferlin,ferlibr01,USHL
541,122,Edmonton Oilers,Martin Gernat\gernama01,SK,D,18.0,,Kosice Jr. (Slovak-Jr.),,,,,,,,,,,,,2011,30,4.033333333333333,5,False,,,,Martin Gernat,gernama01,Slovak-Jr.
542,123,Colorado Avalanche,Garrett Meurs\meursga01,CA,C,18.0,,Plymouth (OHL),,,,,,,,,,,,,2011,30,4.066666666666666,5,False,,,,Garrett Meurs,meursga01,OHL
543,124,Florida Panthers,Yaroslav Kosov\kosovya01,RU,C,18.0,,Magnitogorsk Jr. (Russia-Jr.),,,,,,,,,,,,,2011,30,4.1,5,False,,,,Yaroslav Kosov,kosovya01,Russia-Jr.
544,125,New York Islanders,John Persson\perssjo01,SE,LW,19.0,2014.0,Red Deer (WHL),10.0,1.0,0.0,1.0,-4.0,6.0,,,,,,,2011,30,4.133333333333334,5,False,0.1,0.0,0.1,John Persson,perssjo01,WHL
545,126,Ottawa Senators,Fredrik Claesson\claesfr01,SE,D,18.0,2019.0,Djurgarden (Sweden),117.0,4.0,16.0,20.0,-7.0,46.0,,,,,,,2011,30,4.166666666666667,5,False,0.03418803418803419,0.13675213675213677,0.17094017094017094,Fredrik Claesson,claesfr01,Sweden
546,127,New York Islanders,Brenden Kichton\kichtbr01,CA,D,19.0,,Spokane (WHL),,,,,,,,,,,,,2011,30,4.2,5,False,,,,Brenden Kichton,kichtbr01,WHL
547,128,Columbus Blue Jackets,Seth Ambroz\ambrose01,US,RW,18.0,,Omaha (USHL),,,,,,,,,,,,,2011,30,4.233333333333333,5,False,,,,Seth Ambroz,ambrose01,USHL
548,129,New Jersey Devils,Blake Pietila\pietibl01,US,LW,18.0,2018.0,USA U-18 (USHL),19.0,1.0,2.0,3.0,-5.0,6.0,,,,,,,2011,30,4.266666666666667,5,False,0.05263157894736842,0.10526315789473684,0.15789473684210525,Blake Pietila,pietibl01,USHL
549,130,Toronto Maple Leafs,Tony Cameranesi\camerto01,US,C,18.0,,Wayzata (High-MN),,,,,,,,,,,,,2011,30,4.3,5,False,,,,Tony Cameranesi,camerto01,High-MN
550,131,Minnesota Wild,Nick Seeler\seeleni01,US,D,18.0,2019.0,Eden Prairie (High-MN),31.0,0.0,4.0,4.0,12.0,30.0,,,,,,,2011,30,4.333333333333333,5,False,0.0,0.12903225806451613,0.12903225806451613,Nick Seeler,seeleni01,High-MN
551,132,St. Louis Blues,Niklas Lundstrom\lundsni01,SE,G,18.0,,AIK Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,4.366666666666666,5,False,,,,Niklas Lundstrom,lundsni01,Sweden-Jr.
552,133,San Jose Sharks,Sean Kuraly\kuralse01,US,C,18.0,2019.0,Indiana (USHL),93.0,7.0,10.0,17.0,-5.0,51.0,,,,,,,2011,30,4.4,5,False,0.07526881720430108,0.10752688172043011,0.1827956989247312,Sean Kuraly,kuralse01,USHL
553,134,New York Rangers,Shane McColgan\mccolsh01,US,RW,18.0,,Kelowna (WHL),,,,,,,,,,,,,2011,30,4.433333333333334,5,False,,,,Shane McColgan,mccolsh01,WHL
554,135,Dallas Stars,Troy Vance\vancetr01,US,D,18.0,,Victoriaville (QMJHL),,,,,,,,,,,,,2011,30,4.466666666666667,5,False,,,,Troy Vance,vancetr01,QMJHL
555,136,New York Rangers,Samuel Noreau\noreasa01,CA,D,18.0,,Baie-Comeau (QMJHL),,,,,,,,,,,,,2011,30,4.5,5,False,,,,Samuel Noreau,noreasa01,QMJHL
556,137,Buffalo Sabres,Alex Lepkowski\lepkoal01,US,D,18.0,,Barrie (OHL),,,,,,,,,,,,,2011,30,4.533333333333333,5,False,,,,Alex Lepkowski,lepkoal01,OHL
557,138,Montreal Canadiens,Darren Dietz\dietzda01,CA,D,18.0,2016.0,Saskatoon (WHL),13.0,1.0,4.0,5.0,-1.0,13.0,,,,,,,2011,30,4.566666666666666,5,False,0.07692307692307693,0.3076923076923077,0.38461538461538464,Darren Dietz,dietzda01,WHL
558,139,Chicago Blackhawks,Andrew Shaw\shawan01,CA,C,20.0,2019.0,Owen Sound (OHL),448.0,93.0,95.0,188.0,13.0,479.0,,,,,,,2011,30,4.6,5,False,0.20758928571428573,0.21205357142857142,0.41964285714285715,Andrew Shaw,shawan01,OHL
559,140,Los Angeles Kings,Joel Lowry\lowryjo01,US,LW,19.0,,Victoria (WHL),,,,,,,,,,,,,2011,30,4.633333333333334,5,False,,,,Joel Lowry,lowryjo01,WHL
560,141,Phoenix Coyotes,Darian Dziurzynski\dziurda02,CA,LW,20.0,,Saskatoon (WHL),,,,,,,,,,,,,2011,30,4.666666666666667,5,False,,,,Darian Dziurzynski,dziurda02,WHL
561,142,Nashville Predators,Simon Karlsson\karlssi01,SE,D,18.0,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,4.7,5,False,,,,Simon Karlsson,karlssi01,Sweden-Jr.
562,143,Anaheim Ducks,Max Friberg\fribema01,SE,LW,18.0,2016.0,Skovde (Sweden-3),6.0,0.0,0.0,0.0,-1.0,2.0,,,,,,,2011,30,4.733333333333333,5,False,0.0,0.0,0.0,Max Friberg,fribema01,Sweden-3
563,144,Pittsburgh Penguins,Dominik Uher\uherdo01,CZ,C,18.0,2015.0,Spokane (WHL),2.0,0.0,0.0,0.0,-1.0,0.0,,,,,,,2011,30,4.766666666666667,5,False,0.0,0.0,0.0,Dominik Uher,uherdo01,WHL
564,145,Detroit Red Wings,Philippe Hudon\hudonph01,CA,C,18.0,,Choate-Rosemary (High-CT),,,,,,,,,,,,,2011,30,4.8,5,False,,,,Philippe Hudon,hudonph01,High-CT
565,146,Detroit Red Wings,Mattias Backman\backmma01,SE,D,18.0,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,4.833333333333333,5,False,,,,Mattias Backman,backmma01,Sweden-Jr.
566,147,Washington Capitals,Patrick Koudys\koudypa01,CA,D,18.0,,RPI (ECAC),,,,,,,,,,,,,2011,30,4.866666666666666,5,False,,,,Patrick Koudys,koudypa01,ECAC
567,148,Tampa Bay Lightning,Nikita Nesterov\nesteni01,RU,D,18.0,2017.0,Chelyabinsk Jr. (Russia-Jr.),132.0,9.0,24.0,33.0,0.0,81.0,,,,,,,2011,30,4.9,5,False,0.06818181818181818,0.18181818181818182,0.25,Nikita Nesterov,nesteni01,Russia-Jr.
568,149,Winnipeg Jets,Austen Brassard\brassau01,CA,RW,18.0,,Belleville (OHL),,,,,,,,,,,,,2011,30,4.933333333333334,5,False,,,,Austen Brassard,brassau01,OHL
569,150,Vancouver Canucks,Frank Corrado\corrafr01,CA,D,18.0,2018.0,Sudbury (OHL),76.0,3.0,5.0,8.0,-24.0,40.0,,,,,,,2011,30,4.966666666666667,5,False,0.039473684210526314,0.06578947368421052,0.10526315789473684,Frank Corrado,corrafr01,OHL
570,151,Boston Bruins,Rob O'Gara\ogararo01,US,D,18.0,2018.0,Milton Academy (High-MA),33.0,0.0,3.0,3.0,-6.0,6.0,,,,,,,2011,30,5.0,6,False,0.0,0.09090909090909091,0.09090909090909091,Rob O'Gara,ogararo01,High-MA
571,152,Toronto Maple Leafs,David Broll\brollda01,CA,LW,18.0,2014.0,Sault Ste. Marie (OHL),5.0,0.0,1.0,1.0,1.0,5.0,,,,,,,2011,30,5.033333333333333,6,False,0.0,0.2,0.2,David Broll,brollda01,OHL
572,153,Colorado Avalanche,Gabriel Beaupre\beaupga01,CA,D,18.0,,Val-d'Or (QMJHL),,,,,,,,,,,,,2011,30,5.066666666666666,6,False,,,,Gabriel Beaupre,beaupga01,QMJHL
573,154,Florida Panthers,Eddie Wittchow\wittced01,US,D,18.0,,Burnsville (High-MN),,,,,,,,,,,,,2011,30,5.1,6,False,,,,Eddie Wittchow,wittced01,High-MN
574,155,Phoenix Coyotes,Andrew Fritsch\fritsan01,CA,RW,18.0,,Owen Sound (OHL),,,,,,,,,,,,,2011,30,5.133333333333334,6,False,,,,Andrew Fritsch,fritsan01,OHL
575,156,Ottawa Senators,Darren Kramer\krameda01,CA,C,19.0,,Spokane (WHL),,,,,,,,,,,,,2011,30,5.166666666666667,6,False,,,,Darren Kramer,krameda01,WHL
576,157,Winnipeg Jets,Jason Kasdorf\kasdoja01,CA,G,19.0,2016.0,Portage (MJHL),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.867,4.0,2011,30,5.2,6,False,0.0,0.0,0.0,Jason Kasdorf,kasdoja01,MJHL
577,158,Columbus Blue Jackets,Lukas Sedlak\sedlalu01,CZ,C,18.0,2019.0,Ceske Budejovice Jr. (Czech),122.0,11.0,10.0,21.0,6.0,50.0,,,,,,,2011,30,5.233333333333333,6,False,0.09016393442622951,0.08196721311475409,0.1721311475409836,Lukas Sedlak,sedlalu01,Czech
578,159,New Jersey Devils,Reece Scarlett\scarlre01,CA,D,18.0,,Swift Current (WHL),,,,,,,,,,,,,2011,30,5.266666666666667,6,False,,,,Reece Scarlett,scarlre01,WHL
579,160,Anaheim Ducks,Josh Manson\mansojo01,CA,D,19.0,2019.0,Salmon Arm (BCHL),272.0,17.0,57.0,74.0,68.0,263.0,,,,,,,2011,30,5.3,6,False,0.0625,0.20955882352941177,0.27205882352941174,Josh Manson,mansojo01,BCHL
580,161,Minnesota Wild,Steve Michalek\michast01,US,G,18.0,,Loomis-Chaffee (High-CT),,,,,,,,,,,,,2011,30,5.333333333333333,6,False,,,,Steve Michalek,michast01,High-CT
581,162,St. Louis Blues,Ryan Tesink\tesinry01,CA,C,18.0,,Saint John (QMJHL),,,,,,,,,,,,,2011,30,5.366666666666666,6,False,,,,Ryan Tesink,tesinry01,QMJHL
582,163,Carolina Hurricanes,Matt Mahalak\mahalma01,US,G,18.0,,Plymouth (OHL),,,,,,,,,,,,,2011,30,5.4,6,False,,,,Matt Mahalak,mahalma01,OHL
583,164,Calgary Flames,Laurent Brossoit\brossla01,CA,G,18.0,2019.0,Edmonton (WHL),30.0,0.0,1.0,1.0,0.0,0.0,30.0,9.0,13.0,2.0,0.903,2.9,2011,30,5.433333333333334,6,False,0.0,0.03333333333333333,0.03333333333333333,Laurent Brossoit,brossla01,WHL
584,165,Dallas Stars,Matej Stransky\stranma01,CZ,RW,18.0,,Saskatoon (WHL),,,,,,,,,,,,,2011,30,5.466666666666667,6,False,,,,Matej Stransky,stranma01,WHL
585,166,San Jose Sharks,Daniil Sobchenko\sobchda01,UA,C,20.0,,Yaroslavl (KHL),,,,,,,,,,,,,2011,30,5.5,6,False,,,,Daniil Sobchenko,sobchda01,KHL
586,167,Buffalo Sabres,Nathan Lieuwen\lieuwna01,CA,G,20.0,2014.0,Kootenay (WHL),7.0,0.0,0.0,0.0,,0.0,7.0,1.0,4.0,0.0,0.9059999999999999,2.97,2011,30,5.533333333333333,6,False,0.0,0.0,0.0,Nathan Lieuwen,lieuwna01,WHL
587,168,Montreal Canadiens,Daniel Pribyl\pribyda01,CZ,C,18.0,,Sparta Jr. (Czech),,,,,,,,,,,,,2011,30,5.566666666666666,6,False,,,,Daniel Pribyl,pribyda01,Czech
588,169,Chicago Blackhawks,Sam Jardine\jardisa01,CA,D,18.0,,Camrose (AJHL),,,,,,,,,,,,,2011,30,5.6,6,False,,,,Sam Jardine,jardisa01,AJHL
589,170,Nashville Predators,Chase Balisy\balisch01,US,C,19.0,2018.0,Western Michigan (CCHA),8.0,0.0,0.0,0.0,-2.0,0.0,,,,,,,2011,30,5.633333333333334,6,False,0.0,0.0,0.0,Chase Balisy,balisch01,CCHA
590,171,Ottawa Senators,Max McCormick\mccorma01,US,LW,19.0,2019.0,Sioux City (USHL),58.0,5.0,4.0,9.0,-12.0,74.0,,,,,,,2011,30,5.666666666666667,6,False,0.08620689655172414,0.06896551724137931,0.15517241379310345,Max McCormick,mccorma01,USHL
591,172,New York Rangers,Peter Ceresnak\cerespe01,SK,D,18.0,,Trencin Jr. (Slovak-Jr.),,,,,,,,,,,,,2011,30,5.7,6,False,,,,Peter Ceresnak,cerespe01,Slovak-Jr.
592,173,Toronto Maple Leafs,Dennis Robertson\roberde01,CA,D,20.0,,Brown (ECAC),,,,,,,,,,,,,2011,30,5.733333333333333,6,False,,,,Dennis Robertson,roberde01,ECAC
593,174,Pittsburgh Penguins,Josh Archibald\archijo01,CA,RW,18.0,2019.0,Brainerd-High (High-MN),58.0,8.0,6.0,14.0,1.0,29.0,,,,,,,2011,30,5.766666666666667,6,False,0.13793103448275862,0.10344827586206896,0.2413793103448276,Josh Archibald,archijo01,High-MN
594,175,Detroit Red Wings,Richard Nedomlel\nedomri01,CZ,D,18.0,,Swift Current (WHL),,,,,,,,,,,,,2011,30,5.8,6,False,,,,Richard Nedomlel,nedomri01,WHL
595,176,Philadelphia Flyers,Petr Placek\placepe01,CZ,RW,18.0,,Hotchkiss School (High-CT),,,,,,,,,,,,,2011,30,5.833333333333333,6,False,,,,Petr Placek,placepe01,High-CT
596,177,Washington Capitals,Travis Boyd\boydtr01,US,C,18.0,2018.0,USA U-18 (USHL),8.0,0.0,1.0,1.0,2.0,2.0,,,,,,,2011,30,5.866666666666666,6,False,0.0,0.125,0.125,Travis Boyd,boydtr01,USHL
597,178,Tampa Bay Lightning,Adam Wilcox\wilcoad01,US,G,18.0,2018.0,Green Bay (USHL),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2011,30,5.9,6,False,0.0,0.0,0.0,Adam Wilcox,wilcoad01,USHL
598,179,San Jose Sharks,Dylan Demelo\demeldy01,CA,D,18.0,2019.0,Mississauga St. Michael's (OHL),141.0,4.0,33.0,37.0,7.0,66.0,,,,,,,2011,30,5.933333333333334,6,False,0.028368794326241134,0.23404255319148937,0.2624113475177305,Dylan Demelo,demeldy01,OHL
599,180,Vancouver Canucks,Pathrik Westerholm\westepa01,SE,C,19.0,,Malmo (Sweden-2),,,,,,,,,,,,,2011,30,5.966666666666667,6,False,,,,Pathrik Westerholm,westepa01,Sweden-2
600,181,Boston Bruins,Lars Volden\voldela01,NO,G,19.0,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,,2011,30,6.0,7,False,,,,Lars Volden,voldela01,Finland-Jr.
601,182,Edmonton Oilers,Frans Tuohimaa\tuohifr01,FI,G,20.0,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,2011,30,6.033333333333333,7,False,,,,Frans Tuohimaa,tuohifr01,Finland-Jr.
602,183,Colorado Avalanche,Dillon Donnelly\donnedi01,US,D,18.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2011,30,6.066666666666666,7,False,,,,Dillon Donnelly,donnedi01,QMJHL
603,184,Florida Panthers,Iiro Pakarinen\pakarii01,FI,RW,20.0,2018.0,KalPa Kuopio (Finland),134.0,10.0,13.0,23.0,-11.0,18.0,,,,,,,2011,30,6.1,7,False,0.07462686567164178,0.09701492537313433,0.17164179104477612,Iiro Pakarinen,pakarii01,Finland
604,185,New York Islanders,Mitchell Theoret\theormi01,CA,C,18.0,,Niagara (OHL),,,,,,,,,,,,,2011,30,6.133333333333334,7,False,,,,Mitchell Theoret,theormi01,OHL
605,186,Ottawa Senators,Jordan Fransoo\fransjo02,CA,D,18.0,,Brandon (WHL),,,,,,,,,,,,,2011,30,6.166666666666667,7,False,,,,Jordan Fransoo,fransjo02,WHL
606,187,Winnipeg Jets,Aaron Harstad\harstaa01,US,D,19.0,,Green Bay (USHL),,,,,,,,,,,,,2011,30,6.2,7,False,,,,Aaron Harstad,harstaa01,USHL
607,188,Columbus Blue Jackets,Anton Forsberg\forsban01,SE,G,18.0,2018.0,MODO Jr. (Sweden-Jr.),45.0,0.0,1.0,1.0,0.0,0.0,45.0,11.0,24.0,4.0,0.9009999999999999,3.21,2011,30,6.233333333333333,7,False,0.0,0.022222222222222223,0.022222222222222223,Anton Forsberg,forsban01,Sweden-Jr.
608,189,New Jersey Devils,Patrick Daly\dalypa01,US,D,19.0,,Benilde-St.Margaret's (High-MN),,,,,,,,,,,,,2011,30,6.266666666666667,7,False,,,,Patrick Daly,dalypa01,High-MN
609,190,Toronto Maple Leafs,Garret Sparks\sparkga01,US,G,18.0,2019.0,Guelph (OHL),19.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,9.0,1.0,0.893,3.07,2011,30,6.3,7,False,0.0,0.0,0.0,Garret Sparks,sparkga01,OHL
610,191,Minnesota Wild,Tyler Graovac\graovty01,CA,C,18.0,2018.0,Ottawa (OHL),62.0,7.0,2.0,9.0,3.0,12.0,,,,,,,2011,30,6.333333333333333,7,False,0.11290322580645161,0.03225806451612903,0.14516129032258066,Tyler Graovac,graovty01,OHL
611,192,St. Louis Blues,Teemu Eronen\eronete01,FI,D,20.0,,Jokerit (Finland),,,,,,,,,,,,,2011,30,6.366666666666666,7,False,,,,Teemu Eronen,eronete01,Finland
612,193,Carolina Hurricanes,Brody Sutter\suttebr05,CA,C,19.0,2016.0,Lethbridge (WHL),12.0,0.0,0.0,0.0,-6.0,0.0,,,,,,,2011,30,6.4,7,False,0.0,0.0,0.0,Brody Sutter,suttebr05,WHL
613,194,San Jose Sharks,Colin Blackwell\blackco01,US,C,18.0,,St. John's Prep (High-MA),,,,,,,,,,,,,2011,30,6.433333333333334,7,False,,,,Colin Blackwell,blackco01,High-MA
614,195,Dallas Stars,Jyrki Jokipakka\jokipjy01,FI,D,20.0,2017.0,Ilves Tampere (Finland),150.0,3.0,25.0,28.0,-2.0,34.0,,,,,,,2011,30,6.466666666666667,7,False,0.02,0.16666666666666666,0.18666666666666668,Jyrki Jokipakka,jokipjy01,Finland
615,196,Phoenix Coyotes,Zac Larraza\larraza01,US,LW,18.0,,USA U-18 (USHL),,,,,,,,,,,,,2011,30,6.5,7,False,,,,Zac Larraza,larraza01,USHL
616,197,Buffalo Sabres,Brad Navin\navinbr01,US,C,19.0,,Waupaca (High-WI),,,,,,,,,,,,,2011,30,6.533333333333333,7,False,,,,Brad Navin,navinbr01,High-WI
617,198,Montreal Canadiens,Colin Sullivan\sullico01,US,D,18.0,,Avon Old Farms (High-CT),,,,,,,,,,,,,2011,30,6.566666666666666,7,False,,,,Colin Sullivan,sullico01,High-CT
618,199,Chicago Blackhawks,Alex Broadhurst\broadal01,US,C,18.0,2018.0,Green Bay (USHL),2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,2011,30,6.6,7,False,0.0,0.0,0.0,Alex Broadhurst,broadal01,USHL
619,200,Los Angeles Kings,Michael Schumacher\schummi01,SE,LW,18.0,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,6.633333333333334,7,False,,,,Michael Schumacher,schummi01,Sweden-Jr.
620,201,Tampa Bay Lightning,Matthew Peca\pecama01,CA,C,18.0,2019.0,Pembroke (CCHL),28.0,3.0,6.0,9.0,2.0,4.0,,,,,,,2011,30,6.666666666666667,7,False,0.10714285714285714,0.21428571428571427,0.32142857142857145,Matthew Peca,pecama01,CCHL
621,202,Nashville Predators,Brent Andrews\andrebr01,CA,LW,18.0,,Halifax (QMJHL),,,,,,,,,,,,,2011,30,6.7,7,False,,,,Brent Andrews,andrebr01,QMJHL
622,203,Toronto Maple Leafs,Max Everson\eversma01,US,D,18.0,,Edina High (High-MN),,,,,,,,,,,,,2011,30,6.733333333333333,7,False,,,,Max Everson,eversma01,High-MN
623,204,Ottawa Senators,Ryan Dzingel\dzingry01,US,C,19.0,2019.0,Lincoln (USHL),196.0,42.0,44.0,86.0,-8.0,80.0,,,,,,,2011,30,6.766666666666667,7,False,0.21428571428571427,0.22448979591836735,0.4387755102040816,Ryan Dzingel,dzingry01,USHL
624,205,Detroit Red Wings,Alexei Marchenko\marchal01,RU,D,19.0,2017.0,CSKA (KHL),121.0,4.0,17.0,21.0,5.0,26.0,,,,,,,2011,30,6.8,7,False,0.03305785123966942,0.14049586776859505,0.17355371900826447,Alexei Marchenko,marchal01,KHL
625,206,Philadelphia Flyers,Derek Mathers\mathede01,CA,RW,18.0,,Peterborough (OHL),,,,,,,,,,,,,2011,30,6.833333333333333,7,False,,,,Derek Mathers,mathede01,OHL
626,207,Washington Capitals,Garrett Haar\haarga01,US,D,18.0,,Fargo (USHL),,,,,,,,,,,,,2011,30,6.866666666666666,7,False,,,,Garrett Haar,haarga01,USHL
627,208,Tampa Bay Lightning,Ondrej Palat\palaton01,CZ,LW,20.0,2019.0,Drummondville (QMJHL),371.0,85.0,173.0,258.0,105.0,113.0,,,,,,,2011,30,6.9,7,False,0.22911051212938005,0.46630727762803237,0.6954177897574124,Ondrej Palat,palaton01,QMJHL
628,209,Pittsburgh Penguins,Scott Wilson\wilsosc01,CA,C,19.0,2018.0,Georgetown (OJHL),172.0,19.0,27.0,46.0,-20.0,52.0,,,,,,,2011,30,6.933333333333334,7,False,0.11046511627906977,0.1569767441860465,0.26744186046511625,Scott Wilson,wilsosc01,OJHL
629,210,Vancouver Canucks,Henrik Tommernes\tommehe01,SE,D,21.0,,Frolunda (Sweden),,,,,,,,,,,,,2011,30,6.966666666666667,7,False,,,,Henrik Tommernes,tommehe01,Sweden
630,211,Chicago Blackhawks,Johan Mattsson\mattsjo01,SE,G,19.0,,Sodertalje Jr. (Sweden-Jr.),,,,,,,,,,,,,2011,30,7.0,8,False,,,,Johan Mattsson,mattsjo01,Sweden-Jr.
631,1,Edmonton Oilers,Nail Yakupov\yakupna01,RU,RW,18.0,2018.0,Sarnia (OHL),350.0,62.0,74.0,136.0,-89.0,142.0,,,,,,,2012,30,0.0,1,True,0.17714285714285713,0.21142857142857144,0.38857142857142857,Nail Yakupov,yakupna01,OHL
632,2,Columbus Blue Jackets,Ryan Murray\murrary01,CA,D,18.0,2019.0,Everett (WHL),273.0,12.0,65.0,77.0,-1.0,90.0,,,,,,,2012,30,0.03333333333333333,1,True,0.04395604395604396,0.23809523809523808,0.28205128205128205,Ryan Murray,murrary01,WHL
633,3,Montreal Canadiens,Alex Galchenyuk\galchal01,US,C,18.0,2019.0,Sarnia (OHL),420.0,108.0,148.0,256.0,-34.0,151.0,,,,,,,2012,30,0.06666666666666667,1,True,0.2571428571428571,0.3523809523809524,0.6095238095238096,Alex Galchenyuk,galchal01,OHL
634,4,New York Islanders,Griffin Reinhart\reinhgr01,CA,D,18.0,2016.0,Edmonton (WHL),37.0,0.0,2.0,2.0,-5.0,26.0,,,,,,,2012,30,0.1,1,True,0.0,0.05405405405405406,0.05405405405405406,Griffin Reinhart,reinhgr01,WHL
